The tag-bigram has the form ti|ti-1, but it calculate P(ti−1, ti).
to|np: 0.00645682001614205
be|to: 0.11340778247901782
ql|be: 0.03915515840779854
jj|ql: 0.5035427491733585
cc|jj: 0.042922256760456766
wps|cc: 0.002302884088167562
pp$|vbd: 0.046857142857142854
at|vb: 0.17918135827073434
nns|at: 0.07371723999957881
pn|.: 0.004399524375743163
md|pn: 0.08353708231458842
--|vb: 0.001992948030047524
dt|cs: 0.023644079653033626
bez|dt: 0.06934557979334098
at|bez: 0.1955771961858389
--|nn: 0.006941302777196335
vbd|nn: 0.02162742489820998
in|vbd: 0.16717241379310344
vbg|pp$: 0.01428658648269125
at|vbg: 0.1377248950968558
in|nn-tl: 0.06357534140884191
od-tl|at: 0.000989775826304872
nn-tl|od-tl: 0.671875
,|nn-tl: 0.12051539233083867
rb|cc: 0.06486456848338634
to|rb: 0.01484671615572052
,|ppo: 0.11774507081366287
rb|,: 0.057923691215616684
cs|rb: 0.04709015696718989
vb|cs: 0.001165881639695938
np|vb: 0.014011957688180286
vb|np: 0.005141541864705707
cs|ppo: 0.04276589836156623
vbg|at: 0.016152299122890144
nn|vbg: 0.1577858251422659
wrb|nn: 0.0045307530773334055
pp$|wrb: 0.023389130933272186
.|ppo: 0.17708044061834677
dod|pps: 0.014816490414522423
vb|dod: 0.08673978065802593
cs|jj: 0.023756220908695582
nn|cs: 0.045096301823438885
nns|dts: 0.4890885750962773
,|nns: 0.13379150636835618
np$|cs: 0.004616891293195915
nn|np$: 0.49939975990396157
ppss|,: 0.03031055900621118
hvd|ppss: 0.04270997819384916
rb|hvd: 0.08078880407124682
nps|in: 0.0008207302789628021
.|nps: 0.10737704918032787
pp$|.: 0.016986580601324953
jj|in: 0.06672708153442365
hvd|nn: 0.004524000837277767
cs|vbn: 0.04078251674303842
ppss|cs: 0.10828708669495873
md|ppss: 0.15189111963305513
``|vb: 0.002330216158209413
jj|``: 0.0692859663568992
in|'': 0.04304126758897955
np|vbg: 0.010978904408806117
at|np: 0.004872507697366454
``|at: 0.006117656968969475
''|jj: 0.008777722301857012
nn|'': 0.02625044341965236
.|nn: 0.13037225099426736
vb|.: 0.012094445388143367
abn|vb: 0.005273647094894987
dt|abn: 0.028027681660899653
--|dt: 0.0019517795637198623
rb|--: 0.06537753222836096
wrb|,: 0.011872227151730258
jj|wrb: 0.034166475578995645
np|jj: 0.011757316110744254
cc|np: 0.055211789675066514
at|cc: 0.10609715977629126
np-tl|at: 0.008381505933390192
nn-tl|np-tl: 0.3758682788783123
nn-tl|nn-tl: 0.1429673636293496
vb|nn-tl: 0.00293187254069902
np|nns: 0.00183020206924887
vbd|np: 0.1110812184258512
abn|in: 0.008728808487718969
np|abn: 0.00657439446366782
at|vbd: 0.14983251231527095
pps|nn: 0.005874448848405459
vbd|pps: 0.3385172199287451
vb|ppss: 0.23159636062861869
wrb|.: 0.013606251061661287
jj-tl|wrb: 0.0016051364365971107
np-tl|jj-tl: 0.21167334669338678
nn|np-tl: 0.029585798816568046
bez|nn: 0.024503879161911966
vbn|bez: 0.16778251166565225
np|in: 0.05489488667937659
cd|np: 0.01877260634322781
cd|,: 0.018101153504880212
--|cd: 0.0028932541495355567
pps|cs: 0.1363615165788369
md|pps: 0.11101057512865464
nn-tl|cs: 0.005409690808189153
np|nn-tl: 0.08116657665303603
hvd|np: 0.020297133291483575
at|hvd: 0.09096692111959287
,|vbg: 0.03943208599183767
``|,: 0.0188642413487134
at|``: 0.05799317727326197
cc|nps: 0.09672131147540984
nps|cc: 0.0015900866323061739
bez|nps: 0.004098360655737705
.|np: 0.07586763518966909
.|.: 0.09753694581280788
bez|nn-tl: 0.013502044595324435
np|at: 0.022764844005012056
''|np: 0.017696469673870802
--|'': 0.019628709944424737
in|--: 0.08256599140577041
vbn|dts: 0.029097133076593923
jj|vbn: 0.025449418399718014
vbz|nn: 0.013295160669552124
rb|vbz: 0.04775747508305648
at|rb: 0.056525188417294724
in|,: 0.07929015084294587
rb|nn-tl: 0.008641308541007638
hvd|.: 0.0005095974180397486
pps|hvd: 0.007421543681085666
vbn|pps: 0.0011310298026352993
rb|vbn: 0.044836094465985195
hv|md: 0.07782940590773316
vbn|hv: 0.32063074901445465
,|jj: 0.05371321812237272
md|cc: 0.0077036955806557735
at|md: 0.007882509127115831
nr|vb: 0.002452859113904645
to|nr: 0.018941868060091443
np$|vb: 0.001962287291123716
ap|nn: 0.0010803584089021533
in|ap: 0.1280415269817238
in|in: 0.010917422564953106
rp|vbg: 0.03132724032879232
in|rp: 0.33831872099020116
jj|pp$: 0.18236766591366993
cc|nns: 0.07507563590184141
vbg|cc: 0.027716854918302447
``|vbg: 0.002816577570845548
fw-vbd|``: 0.00011763321962122103
''|fw-vbd: 0.5
dod|nn-tl: 0.0005400817838129774
*|dod: 0.4307078763708873
rb|*: 0.14564194488012547
ql|vbd: 0.009064039408866995
rb|ql: 0.2334671705243269
wdt|in: 0.011729603570176713
md|wdt: 0.06803355079217148
ben|hv: 0.16846254927726675
at|ben: 0.0941908713692946
np$|vbd: 0.002955665024630542
dod|cs: 0.0007461642494054003
rb|dod: 0.027916251246261216
np|rb: 0.007281690938969796
cs|.: 0.03453371836249363
rp|vbd: 0.056906403940886696
cc|vbg: 0.02575156636201644
vbd|cc: 0.05951858756442592
*|cs: 0.004523620762020239
in|*: 0.05489580999327806
.|nn-tl: 0.08679885811279994
in|.: 0.07491082045184304
nn-tl|,: 0.007116237799467613
ppo|vbd: 0.07645320197044335
rb|ppo: 0.06285291122836249
--|ppo: 0.010274923632324354
pp$|cs: 0.02919367625798629
abn|.: 0.0031425174112451166
jj|dt: 0.08495981630309989
wdt|,: 0.013451641526175688
in|wdt: 0.020130475302889098
vbz|ppo: 0.0012033694344163659
in|vbz: 0.17428017718715394
vbz|,: 0.008589174800354924
ppo|vbz: 0.04955703211517165
to|ppo: 0.04600573914653337
rp|nn: 0.0019851585763577067
cc|rp: 0.05690218325597387
rp|cc: 0.001946485360236868
rb|rp: 0.05741791301358088
vbg|rb: 0.025188417294724316
ppls|vbg: 0.001494510547795597
in|ppls: 0.23668639053254437
pps|.: 0.09682350942755223
bedz|pps: 0.15161454504326188
jj-tl|in: 0.0056767177628260475
(|np-tl: 0.007460766658091073
wdt|(: 0.014052583862194016
ppss|wdt: 0.09599254426840634
)|vb: 0.000521232561704737
dod|): 0.002257336343115124
.|vbn: 0.0664786746563271
cs|nn: 0.021559902497653598
vbn|bedz: 0.22625963874511462
,|vbn: 0.055304899541769474
ppls|vb: 0.003403342020542695
pps|vbg: 0.0020693222969477496
dts|abn: 0.02179930795847751
rb|bez: 0.11462771353215663
dti|,: 0.002360248447204969
ap|dti: 0.04688050757842792
cs|ap: 0.034497674921596194
bez|cs: 0.0013990579676351257
np-tl|in: 0.00445417161812104
hvg|in: 0.0006155477092221015
vbn|hvg: 0.30036630036630035
at|vbn: 0.0438491364117025
np$|np: 0.015095806056258034
at-tl|np$: 0.009603841536614645
nn-tl|at-tl: 0.4904632152588556
abx|in: 0.0019150373175798715
nns|abx: 0.25035161744022505
at|nns: 0.007638292309416203
:|vbz: 0.010382059800664452
nn|:: 0.0639269406392694
nn|vbd: 0.02025615763546798
jj|cd: 0.0492614588091975
abx|,: 0.0016326530612244899
jj|abx: 0.09845288326300984
wrb|cc: 0.0075392038600723766
vbn|wrb: 0.021554689291446917
rb|vbd: 0.0685320197044335
.|rb: 0.07743525811752706
ppss|vb: 0.006990648474628239
abx|ppss: 0.0014286788480336867
hvd|abx: 0.009845288326300985
vbn|hvd: 0.44253604749787956
wdt|nns: 0.009412467784708474
pp$|wdt: 0.012488350419384902
vbd|nns: 0.02567885556344078
jj|vbd: 0.024985221674876847
:|jj: 0.0010790961361915959
bez|:: 0.002609262883235486
dt|bez: 0.011462771353215662
at|dt: 0.0027554535017221583
nns|nn: 0.03941957744481732
vb|nns: 0.027714488477197177
bez|.: 0.0009512485136741974
pps|bez: 0.00801379590180564
in|pps: 0.0014137872532941243
jj|abn: 0.05328719723183391
at|wrb: 0.17908736528319194
pp$|vb: 0.0490571822780929
ppss|nn: 0.004733320279002559
ber|ppss: 0.05090608316414768
vbn|ber: 0.23671838269863657
ql|nn: 0.0032613319468733754
rb|hvz: 0.09193480986209779
.|in: 0.0012823910608793783
ex|,: 0.005678793256433008
bez|ex: 0.25952380952380955
cd|at: 0.010013583093786525
nns|cd: 0.2622963301355261
ppo|vbg: 0.03724780134505949
:|ppo: 0.003147273905396649
pps|:: 0.0319634703196347
cs|cs: 0.030732640022384926
vb|,: 0.014480922803904171
jj|ppo: 0.027029528834582987
*|in: 0.00028212603339346324
vbg|*: 0.03517813130181492
wrb|rb: 0.006431688105627019
,|vb: 0.034646634983903114
to|nn-tl: 0.005709436000308618
rp|ppo: 0.030824770896973063
.|rp: 0.09695719443011862
pps|rb: 0.01714172380574602
in|bedz: 0.047639167634942435
vbz|rb: 0.017396724655748853
at|vbz: 0.187015503875969
in|abn: 0.14152249134948097
ppss|ppo: 0.005276312135517912
hv|ppss: 0.05534250695541018
cc|hv: 0.0018396846254927727
cc|ppo: 0.032490974729241874
jj|cc: 0.08937383485031253
bedz|,: 0.007755102040816327
at|bedz: 0.159290165839231
cd|jj: 0.0028668524215239416
.|cd: 0.07811786203746003
md*|pps: 0.00978340779279534
be|md*: 0.15853658536585366
rp|vbn: 0.03126542121959817
rb|in: 0.008361189716933547
cs|nns: 0.019590632353490456
jj|cs: 0.039639975749661896
in|vbg: 0.16359142380870265
dt|:: 0.0091324200913242
jj|bedz: 0.11091158762015423
jj|rb: 0.041111803706012355
jj|,: 0.04191659272404614
in|jj: 0.059140910628291646
jj|jj: 0.04696484079305513
ql|cc: 0.010829038271740322
vbn|ql: 0.06117146905999055
wrb|nns: 0.004314047734658051
vbn|bed: 0.3079606723755154
vbg|wrb: 0.011235955056179775
nns|vbg: 0.08708397999655113
vbn|nns: 0.020991297202405407
cc|nn-tl: 0.03356222513694931
nn|cc: 0.11484263625397521
rb|vbg: 0.04190377651319193
jj|bed: 0.11068823342848082
bez|nns: 0.006685840212154036
.|jj: 0.040103722076374235
cc|.: 0.0452012909801257
cs|np: 0.009087376319014738
wdt|nn: 0.006401123572745258
hvd|wdt: 0.0255358807082945
ppl|vbn: 0.0015861825872400424
at|ppl: 0.042677824267782424
bez|wdt: 0.06859273066169617
*|bez: 0.05153175086224386
to|*: 0.03405780864889088
cs|rp: 0.026130307718755373
hv|nns: 0.0096739252231726
nns|,: 0.019361135758651286
bez|vbd: 0.00011822660098522167
ql|bez: 0.05457496449584094
hvz|pps: 0.023581971384945992
ben|hvz: 0.23485165064772254
rb|ben: 0.06846473029045644
ppss|cc: 0.02681215045509376
:|rb: 0.0019266730889102963
in|:: 0.030006523157208087
nn|wdt: 0.047157502329916126
do|nn: 0.00022282392183606913
at|do: 0.06521739130434782
vb|jj: 0.0004992832868946191
vbn|ppls: 0.029585798816568046
do|wdt: 0.004846225535880708
ppss|do: 0.09161490683229814
,|ppss: 0.005789909015715467
od|at: 0.012761790441292605
nn|od: 0.5896607431340872
ppls|in: 0.0006240969829612974
.|ppls: 0.14497041420118342
ex|.: 0.01255308306437914
md|ex: 0.09
be|md: 0.2715731828742117
at|be: 0.09569455727051178
in|np: 0.04743969150748812
vbn|,: 0.018065661047027507
nps|abn: 0.0034602076124567475
,|nps: 0.17540983606557378
ap|pp$: 0.008059100067159167
nns|ap: 0.24872931761652428
dod|np: 0.002630556302872687
vb|*: 0.25364104862200315
:|nn: 0.00306551698525986
``|:: 0.3385518590998043
ql|vbn: 0.008001409940077546
wdt|cc: 0.005071828051321417
rbr|vb: 0.0017170013797332515
in|rbr: 0.1344319167389419
dt|cd: 0.004263742957210294
cs|dt: 0.0029850746268656717
ap|cs: 0.009840041039033718
nn|.: 0.020808561236623068
vbz|cc: 0.00915670577914245
rbr|vbz: 0.0020764119601328905
ql|.: 0.004501443859351113
ql|ql: 0.03790741615493623
--|vbd: 0.0018916256157635468
vb|--: 0.014426028238182934
dt|,: 0.007417923691215617
np|bez: 0.0055792249949279775
*|,: 0.004401064773735581
np|*: 0.005153484203450594
--|.: 0.001053167997282147
md|cs: 0.0019120458891013384
ppl|vb: 0.0060708263069139965
in|ppl: 0.1790794979079498
md|,: 0.008571428571428572
pps|md: 0.006057085960836376
``|pps: 0.0007917208618447096
vb|``: 0.04681802140924597
dti|vb: 0.008707649854361491
be|cc: 0.0007950433161530869
dti|in: 0.009070779437286803
vbg|dti: 0.010927035600986958
ap|vb: 0.007634523992028208
nn|ap: 0.2794419811830864
dt|vbd: 0.00851231527093596
od|``: 0.0008234325373485472
jj-tl|od: 0.006462035541195477
''|nn-tl: 0.034025152380217576
wdt|'': 0.0027196405344684874
vbd|wdt: 0.0754892823858341
nns|jj-tl: 0.03657314629258517
(|nns: 0.004650207298397639
in|(: 0.08703535811423391
bed|wdt: 0.008387698042870456
rb|bed: 0.11163970821439899
)|nns: 0.0032308669181638217
,|): 0.1729119638826185
*|bedz: 0.037393049540509135
pn|*: 0.0017925162446784674
wdt|pn: 0.004889975550122249
np|wdt: 0.03038210624417521
pn|vbn: 0.0012689460697920339
--|md: 0.0009956853634251576
np|--: 0.0374462860650706
jjr|np$: 0.0020008003201280513
nn|jjr: 0.34752891692954785
wps|pps: 0.0009048238421082396
wql|vb: 0.0007358577341713935
ap|wql: 0.27325581395348836
nns|ppo: 0.00573914653337036
vbn|at: 0.015046698465847469
nn|vbn: 0.07832217130771942
,|md: 0.00871224692997013
bem|ppss: 0.015113918339724792
jj|bem: 0.16666666666666666
wql|,: 0.00044365572315882877
jj|wql: 0.3430232558139535
pps|jj: 0.0017072267229299876
be|pps: 0.001922750664480009
,|be: 0.008610885458976442
pp$|cc: 0.023960960631648206
bedz|nns: 0.003436297762671348
ql|in: 0.0033855124007215586
ap|ql: 0.06341521020311762
to|hvd: 0.0542832909245123
,|in: 0.0014448272619240995
ap|at: 0.030630402965115665
,|ap: 0.020763490861901157
nn|,: 0.0414019520851819
wdt|.: 0.005231866825208086
rb|wdt: 0.028331780055917986
md|rb: 0.007338357794525982
``|md: 0.0011616329239960172
nns|cc: 0.05345980918960412
''|nns: 0.014137377208381579
do|'': 0.00011824524062906468
wrb|do: 0.003105590062111801
``|hvd: 0.0033927056827820186
vbn|``: 0.01246912127984943
'|,: 0.000585625554569654
jj|': 0.08201892744479496
bez|jj: 0.0009502488363478232
'|nn-tl: 0.0008486999459918216
``|': 0.012618296529968454
.|``: 0.0007057993177273262
,|cc: 0.012528786051102095
ppss|wrb: 0.14171061683100206
bed|jj: 0.00019327094976565897
jj-tl|jj: 0.0023675691346293224
nn|jj-tl: 0.0718937875751503
ppss|md: 0.0172585462993694
be|ppss: 0.0020302278366794496
nps|at: 0.005843889187225574
vbg|nps: 0.013934426229508197
in|nps: 0.10163934426229508
cc|ppss: 0.002782164072486653
do|ppss: 0.015489886457628393
ber|ex: 0.15619047619047619
at|ber: 0.06299952985425482
ql|at: 0.01409904075981089
hv|wps: 0.035395909805977975
rb|hv: 0.06149802890932983
hvn|rb: 0.0005950019833399445
at|hvn: 0.3201754385964912
wps|,: 0.01031055900621118
*|vb: 0.0013797332515713629
in|ql: 0.01889466225791214
nr|in: 0.0017611503902743462
.|nr: 0.1580666231221424
hvz|np: 0.008011239649657729
vbn|ben: 0.45726141078838173
ap|cc: 0.01461234784515846
to|wdt: 0.011369990680335508
cc|vb: 0.016986049363789668
''|vb: 0.010792580101180439
dt|.: 0.026567012060472225
bedz|dt: 0.03340987370838117
nn|bedz: 0.01605577268406042
pps|cc: 0.03722995942537559
vbn|vbd: 0.005714285714285714
rb|``: 0.05352311492765557
ber|cc: 0.002494791095514859
jjr|ber: 0.0037611659614480487
cs|jjr: 0.11829652996845426
dts|cs: 0.0075549130252296785
''|ppo: 0.04545033786911043
wdt|--: 0.016881522406384283
cs|vbd: 0.0416551724137931
bed|ppss: 0.043837882547559964
ql|bed: 0.04091341579448145
qlp|jj: 0.0025930519093559246
.|qlp: 0.11952191235059761
``|bedz: 0.004964613922044998
nn|``: 0.0850488177861428
pps|'': 0.003429111978242876
hvd|nns: 0.0049490157994994954
ppo|vbn: 0.01956291857596052
wps|nn: 0.008953470313776595
pps|wdt: 0.09002795899347624
--|vbn: 0.003031371166725414
cc|rb: 0.023290077633592112
jjt|at: 0.006960019374335324
nn|jjt: 0.42073170731707316
``|.: 0.0646679123492441
cs|``: 0.019527114457122692
nn|ppo: 0.011848560585022679
,|'': 0.23258838831737022
ppss|``: 0.11433948947182684
rp|vb: 0.04016556799018856
''|rb: 0.01702839009463365
to|hv: 0.06885676741130092
cs|ppls: 0.047337278106508875
wrb|cs: 0.003217833325560789
np|wrb: 0.052969502407704656
wdt|vbd: 0.003349753694581281
cc|``: 0.027879073050229384
to|nns: 0.016845329249617153
ap|vbd: 0.007211822660098522
jjr|nns: 0.0005976170022037127
rp|ppl: 0.023430962343096235
,|np-tl: 0.10110625160792384
ap|in: 0.012652925134009866
nns$|ap: 0.0006488590894344112
nns|nns$: 0.3952569169960474
rb|vb: 0.04350758853288364
wrb|in: 0.0008634766476587814
bedz|jj: 0.0004831773744141474
vbd|cd: 0.008070656311862342
to|vbd: 0.046344827586206894
in|dt: 0.044316877152698046
vbn|cs: 0.01487664972252017
cd-tl|at: 0.00029482684187804697
nps|cd-tl: 0.003374578177727784
bez|pps: 0.09941751965164282
wrb|vb: 0.007665184730952016
ql|ber: 0.05688763516690174
rbr|ql: 0.022555503070382617
vbn|rbr: 0.06331309627059845
pn|cs: 0.010586205288439118
,|pn: 0.04645476772616137
in|bez: 0.04219922905254615
cc|cs: 0.0020053164202770133
*|cc: 0.0067167452571553895
rb|cd: 0.01675041876046901
in|od: 0.057619816908992996
cd|rb: 0.018643395477984926
at|hv: 0.13324572930354797
ppss|rb: 0.012806709355697853
to|,: 0.007755102040816327
to|cc: 0.007484373286544577
,|rp: 0.08526731992435964
abx|vbg: 0.00045984939932172214
ppo|abx: 0.0014064697609001407
*|hv: 0.011300919842312747
wdt|vb: 0.007634523992028208
bedz|wdt: 0.04175209692451072
vbg|bedz: 0.08186331467201859
rb|at: 0.0035905697528719293
wps|nn-tl: 0.0019288635136177764
md|wps: 0.10330361824855794
ql|pp$: 0.004945356859393125
,|cs: 0.00942032364874318
jj|ap: 0.07775494755055694
nns|vbd: 0.01296551724137931
wrb|*: 0.0013443871835088505
at|abn: 0.1674740484429066
wrb|vbd: 0.004413793103448276
hvd|wps: 0.0692186680650236
ap|rb: 0.003003343344477815
dod|wps: 0.009176717357105402
cs|in: 0.0012823910608793783
vbg|cs: 0.019680082078067436
nr|nn: 0.0011006151290690687
bez|nr: 0.016329196603527107
cs|bez: 0.023838506796510447
ap|.: 0.0071683370137591304
jj|be: 0.14979691307879772
vb|vb: 0.003863253104399816
wps|pn: 0.03504482477587612
vbz|wps: 0.10828526481384373
np-tl|jj: 0.0010146724862697097
nns-tl|np-tl: 0.04167738615899151
''|nns-tl: 0.04624007473143391
hvz|pn: 0.015484922575387123
vbn|hvz: 0.37818637693272045
hv|cc: 0.0017819936396534708
nn|hv: 0.02759526938239159
do|to: 0.025594783935631547
rb|do: 0.07220496894409938
,|vbz: 0.04443521594684385
vb|cc: 0.04145191358701612
rb|nn: 0.016320164214478152
in|nr: 0.21750489875898105
nn|vb: 0.043783535183197914
``|dti: 0.0014099400775467042
vbz|wdt: 0.07045666356011183
nns|cs: 0.0270950893065336
wrb|bez: 0.003854737269222966
rb|nns: 0.026239121503006762
wdt|np: 0.0007473171314979224
jjs-tl|dti: 0.00035248501938667606
nn-tl|jjs-tl: 0.85
at-hl|.: 0.0015287922541192458
jj-hl|at-hl: 0.19814241486068113
nn-hl|jj-hl: 0.5154639175257731
at|nn-hl: 0.07472067039106145
wdt|bez: 0.0036518563603164943
md|jj: 0.0006764483241798064
``|be: 0.00487408610885459
cd|vbz: 0.009551495016611296
cd|.: 0.01121114319687447
bez|cd: 0.0035784985533729254
wdt|cs: 0.002331763279391876
hvz|jj: 0.00020937686224613056
to|hvz: 0.023401587964897618
in|do: 0.09704968944099379
jj|dti: 0.15650334860768417
``|in: 0.0032743718421120124
cc|'': 0.02625044341965236
``|jj: 0.0023514632221488508
jjr|``: 0.0009410657569697683
nns|jjr: 0.16246056782334384
bez|,: 0.008198757763975155
nns-tl|jj: 0.0005153891993750905
in-tl|nns-tl: 0.06632414759458197
np-tl|in-tl: 0.27615062761506276
in|np-tl: 0.03498842294828917
md|nns: 0.02304560564748067
rb|cs: 0.018001212516905285
nns|abn: 0.14325259515570934
wql|.: 0.0006454900628503483
vbn|wql: 0.046511627906976744
dt|vbn: 0.004758547761720127
md|dt: 0.02227324913892078
nn|*: 0.01008290387631638
jj|wdt: 0.015097856477166821
dt|vb: 0.016096887934999235
ql|dt: 0.004822043628013777
do|nns: 0.0015127180368281477
*|do: 0.15527950310559005
vbg|nn: 0.007238401339644427
nn|rb: 0.008811696038986797
dt|vbg: 0.009024544461688797
,|dt: 0.02973593570608496
jj|hv: 0.02706964520367937
do|,: 0.0005501330967169477
hv|*: 0.02016580775263276
jj|vbg: 0.035925734322009545
rb|wql: 0.28488372093023256
nns|nns: 0.002614574384641243
at|wdt: 0.0842497670083877
vbz|nn-tl: 0.010570172054625415
fw-nn|in: 0.00011114055860954612
.|fw-nn: 0.10283687943262411
ql|rb: 0.009548365161217204
at|hvg: 0.23809523809523808
pn|nns: 0.0003174840324207224
vbz|pn: 0.05745721271393643
fw-nn|at: 0.0007686556948963368
in|fw-nn: 0.07446808510638298
nns-tl|in: 0.0008036317314844104
cc|nns-tl: 0.051377860812704346
nns-tl|at: 0.0028008549978414464
vbz|nns-tl: 0.008874357776739842
vbg|vbz: 0.006090808416389812
vbn|nn: 0.011053416971080155
vbg|jj: 0.006555106379551934
vbz|np: 0.01638119152243446
pp$|``: 0.013410187036819197
vbz|dt: 0.022158438576349023
in|abx: 0.1308016877637131
hvg|vb: 0.0002452859113904645
nn|hvg: 0.07326007326007326
wpo|in: 0.0007950824577452146
,|wpo: 0.02877697841726619
hv|to: 0.022334743705347854
dti|hv: 0.010512483574244415
.|abn: 0.04256055363321799
cc|vbz: 0.013704318936877076
ppl|vbz: 0.006782945736434108
cs|ppl: 0.042677824267782424
nn-tl|jj: 0.004058689945078839
in-tl|nn-tl: 0.08903633978859656
cc|np-tl: 0.02727038847440185
rb|jj: 0.004670714619336758
vbz|rbr: 0.008673026886383347
ber|jj: 0.00025769459968754527
cd|ber: 0.015044663845792195
ber|wps: 0.046407970634504456
vbg|ber: 0.06582040432534085
md|np-tl: 0.006946231026498585
be|rb: 0.010143367144557148
.|ap: 0.025305504487942037
dtx|.: 0.00030575845082384917
bez|dtx: 0.01
wrb|vbz: 0.005675526024363234
dtx|wrb: 0.00045861041045631735
nn|dtx: 0.39
rp|vbz: 0.026439645625692138
at|rp: 0.10452123087502149
dt|cc: 0.010116240815878934
ql|wdt: 0.0033550792171481826
jj-hl|.: 0.0027688126380159676
nns-hl|jj-hl: 0.25
at|nns-hl: 0.07960199004975124
jj|nn: 0.006151290690686636
nn-tl|in: 0.009387102565637049
nns-tl|in-tl: 0.08926080892608089
.|nns-tl: 0.11583372255955161
pps|wrb: 0.1887181839027746
hvd|pps: 0.07266866481931798
pp$|,: 0.01188997338065661
nns|bed: 0.02822708531557247
``|pp$: 0.005189572012943403
nns|'': 0.009932600212841433
bez|wps: 0.055322496067121134
,|bez: 0.02028809089064719
abx|vb: 0.001042465123409474
at|abx: 0.10267229254571027
.|abx: 0.02109704641350211
ap|dt: 0.022502870264064292
nn|cd: 0.11900411146642302
nns|ber: 0.029854254818993887
vbg|bez: 0.036112801785352
.|vbg: 0.03581077197217911
ql|bedz: 0.043202704130136264
ql|pps: 0.0010179268223717696
vbd|ql: 0.0008266414737836561
cc|vbd: 0.01438423645320197
np|nn: 0.004213397794718398
ql|vb: 0.011375134140732792
cs|np-tl: 0.005659891947517366
jj|vbz: 0.041389811738648946
abn|,: 0.0023957409050576754
doz|pps: 0.005881354973703557
