furthermore|rb: 36
demand|vb: 22
leave|vb: 184
plead|vb: 5
dr.|nn-tl: 188
n.|np: 24
l.|np: 53
warrant|nn: 9
stating|vbg: 16
difference|nn: 143
between|in: 693
UNK|nps: 439
;|.: 5446
mr.|np: 778
despite|in: 101
supposed|vbn: 55
conclusive|jj: 10
liberal|nn: 8
UNK|vbz: 873
repeatedly|rb: 18
sigh|nn: 9
relief|nn: 65
positive|jj: 71
quite|rb: 15
brought|vbd: 131
itself|ppl: 294
officially|rb: 18
done|vbn: 298
blot|nn: 5
its|pp$: 1819
have|hv: 3802
remained|vbn: 22
indelible|jj: 4
assemble|vb: 8
honor|vb: 11
other|ap: 1635
than|in: 489
getting|vbg: 156
down|rp: 673
collective|jj: 25
knees|nns: 38
crying|vbg: 14
UNK|fw-vbd: 2
happily|rb: 20
posterity|nn: 5
boston|np-tl: 11
actually|rb: 161
command|vb: 10
room|nn: 347
came|vbd: 599
too|ql: 531
close|rb: 96
comfort|nn: 41
what|wdt: 1787
been|ben: 2410
brutality|nn: 13
fortunately|rb: 19
honor|nn: 48
denomination|nn: 8
cyrus|np: 4
defended|vbd: 9
sincerity|nn: 13
also|rb: 1029
whereupon|cs: 6
broke|vbd: 64
into|in: 1735
weeping|vbg: 5
rushed|vbd: 19
out|in: 434
fellowship|nn-tl: 8
hall|nn: 101
adjournment|nn: 4
took|vbd: 414
warmly|rb: 6
hand|nn: 397
requested|vbd: 5
visit|vb: 50
our|pp$: 1170
theodore|np: 11
again|rb: 556
burst|vbd: 11
tears|nns: 33
near|jj: 15
tragedy|nn: 45
which|wdt: 3466
us|ppo: 642
borders|vbz: 2
comedy|nn: 38
enables|vbz: 9
tell|vb: 253
story|nn: 145
over|rp: 381
warming|vbg: 9
ourselves|ppls: 64
glow|nn: 12
complacency|nn: 4
indeed|rb: 142
thing|nn: 317
but|cc: 4082
somehow|rb: 68
inherent|jj: 26
decency|nn: 10
(|(: 2205
inherit|vb: 4
)|): 2214
triumph|vb: 1
excommunicated|vbn: 4
extent|nn: 100
solace|vb: 1
saying|vbg: 110
asked|vbd: 291
yet|rb: 277
christian|jj: 100
laid|vbn: 48
rest|nn: 133
more|ap: 960
university|nn-tl: 122
having|hvg: 270
penance|nn: 5
rejection|nn: 11
ralph|np: 22
the|at-tl: 665
address|nn-tl: 1
naming|vbg: 3
philosophy|nn: 82
both|abx: 711
cases|nns: 143
stubborn|jj: 12
fact|nn: 422
remains|vbz: 71
:|:: 1533
gave|vbd: 277
birth|nn: 45
two|cd: 1367
brilliant|jj: 50
legitimate|jj: 15
offspring|nns: 2
brought|vbn: 115
test|nn: 91
behaved|vbd: 10
suppose|vb: 92
ventured|vbn: 3
colleagues|nns: 23
thought|vbd: 332
way|nn: 851
settle|vb: 23
frank|jj: 16
differences|nns: 77
opinion|nn: 94
?|.: 4450
possible|jj: 367
how|wrb: 611
liberals|nns: 22
trumpet|vb: 1
confidence|nn: 53
human|jj: 257
dignity|nn: 33
exposed|vbn: 27
fear|nn: 94
more|ql: 969
conservative|nn: 3
ever|rb: 330
worry|vb: 42
about|in: 1194
however|rb: 394
there|ex: 2098
crucial|jj: 26
histories|nns: 9
emerson|np: 6
problem|nn: 297
shoving|vbg: 6
aside|rb: 65
leaving|vbg: 87
behind|in: 225
walked|vbd: 140
communion|nn: 10
so|cs: 465
wound|nn: 16
departure|nn: 16
preserve|vb: 30
self-respect|nn: 4
eventually|rb: 47
accord|vb: 2
pious|jj: 9
insisted|vbd: 39
majority|nn: 55
wanted|vbd: 194
depart|vb: 7
daring|vbg: 11
throw|vb: 35
out|rp: 1566
hence|rb: 57
lifetime|nn: 10
memory|nn: 75
afterwards|rb: 14
within|in: 349
liberal|jj: 47
sensitivity|nn: 28
points|vbz: 18
accusing|vbg: 8
finger|nn: 40
at|in: 5192
telling|vbg: 41
neither|cc: 94
courage|nn: 29
support|vb: 49
energy|nn: 90
cut|vb: 86
throat|nn: 39
dispute|nn: 30
society|nn: 189
time|nn: 1518
ecclesiastical|jj: 8
social|jj: 341
real|jj: 223
one|cd: 2637
bitter|jj: 51
cannot|md*: 246
smoothed|vbn: 3
now|rb: 1263
delightful|jj: 23
bits|nns: 12
solemnly|rb: 9
calling|vbg: 42
reconsideration|nn: 4
justice|nn: 72
objections|nns: 12
that|dt: 2173
world|nn: 654
boston|np: 49
intellectually|rb: 5
sterile|jj: 9
smug|jj: 7
afraid|jj: 52
logical|jj: 33
consequences|nns: 34
own|jj: 727
mild|jj: 14
ventures|nns: 4
quite|ql: 218
prepared|vbn: 89
resort|vb: 6
hysterical|jj: 8
foundations|nns: 13
threatened|vbn: 13
along|rb: 150
charles|np: 86
showed|vbd: 135
magnificent|jj: 26
moral|jj: 132
bravery|nn: 4
facing|vbg: 34
mobs|nns: 4
mobilized|vbn: 4
defense|nn: 121
mexican|jj-tl: 2
war|nn-tl: 152
slavery|nn: 24
nevertheless|rb: 69
find|vb: 383
reasons|nns: 97
respecting|vbg: 2
populace|nn: 4
passions|nns: 12
genuine|jj: 32
division|nn: 65
abolitionists|nns: 3
clear-cut|jj: 6
minister|nn: 43
pale|nn: 1
church|nn: 213
proclaimed|vbn: 4
repository|nn: 4
different|jj: 297
resolved|vbn: 18
holding|vbg: 56
up|rp: 1662
champion|nn: 18
freedom|nn: 113
theological|jj: 23
become|vbn: 118
fundamental|jj: 49
very|ql: 673
much|rb: 206
endlessly|rb: 7
i|ppss: 5002
here|rb: 704
put|vb: 191
thus|rb: 289
point|nn: 347
do|do: 1285
tolerant|jj: 8
themselves|ppls: 265
obliged|vbn: 18
become|vb: 229
aware|jj: 83
reached|vbn: 62
end|nn: 350
patience|nn: 20
dismay|nn: 5
learn|vb: 82
first|od: 944
doubt|nn: 93
era|nn: 28
UNK|ql: 123
cruel|jj: 15
enforcing|vbg: 4
canons|nns: 6
behavior|nn: 93
gentle|jj: 26
channing|np: 5
revered|vbn: 5
orthodox|jj: 9
wrote|vbd: 174
friend|nn: 127
louisville|np: 5
among|in: 345
many|ap: 964
virtues|nns: 14
spirit|nn: 153
crushed|vbd: 2
individuality|nn: 4
judgment|nn: 57
action|nn: 285
city|nn: 259
governed|vbn: 14
so|ql: 907
little|rb: 5
police|nn: 73
mutual|jj: 21
called|vbn: 222
public|jj: 266
sentiment|nn: 21
stand|vb: 104
more|rbr: 189
awe|nn: 5
another|dt: 662
most|ap: 467
people|nns: 809
less|ql: 176
individual|jj: 147
runs|vbz: 15
masses|nns: 21
often|rb: 357
rules|vbz: 3
rod|nn: 5
iron|nn: 35
even|ql: 115
insight|nn: 22
genius|nn: 23
added|vbd: 81
remember|vb: 133
!|.: 1536
trust|vb: 23
heart|nn: 166
speak|vb: 106
without|in: 557
book|nn: 174
consequently|rb: 31
break|vb: 63
some|dti: 1541
law|nn: 275
speech|nn: 59
hurried|vbn: 5
little|ap: 385
mercy|nn: 19
letter|nn: 134
think|vb: 424
say|vb: 471
reached|vbd: 104
such|jj: 955
commencing|vbg: 8
mission|nn: 61
disguised|vbn: 9
UNK|od: 76
congregational|jj-tl: 5
bore|vbd: 14
resemblance|nn: 13
descended|vbn: 4
founders|nns: 2
churches|nns: 78
made|vbd: 456
explicit|jj: 23
beginning|nn: 78
conflict|nn: 46
something|pn: 430
genteel|jj: 4
clerical|jj: 9
because|cs: 687
spoke|vbd: 84
openly|rb: 30
prophesied|vbn: 3
someone|pn: 89
might|md: 628
further|jjr: 71
prophecy|nn: 5
committed|vbd: 4
taste|nn: 50
promptly|rb: 26
discover|vb: 38
how|wql: 140
disposed|vbn: 13
allow|vb: 70
appeared|vbd: 114
proved|vbd: 46
fundamentally|rb: 8
institution|nn: 37
only|rb: 1321
defined|vbn: 38
limits|nns: 35
license|nn: 35
factors|nns: 101
situation|nn: 194
am|bem: 222
sure|jj: 218
fresh|jj: 76
realization|nn: 23
however|wql: 32
painful|jj: 25
battle|nn: 69
neighbors|nns: 35
fought|vbn: 22
earnest|jj: 15
citizens|nns: 73
language|nn: 107
courtesy|nn: 6
respond|vb: 20
least|ap: 308
resentment|nn: 18
otherwise|rb: 85
lawyer|nn: 43
doctor|nn: 86
science|nn: 111
letters|nns: 111
told|vbn: 127
three|cd: 580
stood|vbd: 193
before|in: 392
golden|jj: 23
throne|nn: 3
merchant|nn: 10
continually|rb: 25
cried|vbd: 22
'|': 317
holy|jj: 19
dollar|nn-tl: 2
sensitive|jj: 59
emotions|nns: 42
old|jj: 567
puritan|jj-tl: 4
stock|nn: 134
recent|jj: 176
tides|nns: 4
immigration|nn: 3
astonished|vbn: 5
thin|jj: 87
lips|nns: 65
compressed|vbn: 8
white|jj: 247
line|nn: 271
rage|nn: 16
snarled|vbd: 8
talk|vb: 113
catholics|nps: 32
voting|vbg: 23
bishop|nn: 5
tells|vbz: 34
you|ppss: 2219
same|ap: 667
great|ql: 14
bishops|nns: 5
had|hvn: 227
cross|nn: 18
bosom|nn: 7
head|nn: 399
appeal|vb: 10
authority|nn: 83
pope|nn-tl: 23
rome|np: 66
pope|nn: 5
much|ql: 216
nearer|in: 2
home|nr: 297
controlled|vbn: 33
few|ap: 582
lawyers|nns: 22
managers|nns: 23
told|vbd: 277
editors|nns: 18
war|nn: 292
meant|vbd: 65
business|nn: 347
repeated|vbn: 39
care|nn: 84
know|vb: 650
intended|vbd: 10
caught|vbn: 43
worse|jjr: 47
deceived|vbd: 1
implied|vbd: 5
bad|jj: 129
indeed|qlp: 13
duty|nn: 58
said|vbd: 1707
parents|nns: 88
given|vbn: 361
rule|nn: 58
beyond|in: 153
love|nn: 161
that|wps: 1610
suffused|vbd: 4
being|nn: 27
sense|nn: 288
humor|nn: 42
largely|rb: 51
supplied|vbn: 25
perform|vb: 29
cost|vbd: 10
acute|jj: 12
pain|nn: 85
exhausted|vbd: 3
age|nn: 209
fifty|cd: 67
weep|vb: 12
wept|vbd: 7
astonishingly|ql: 4
slightest|jjt: 13
provocation|nn: 5
psychology|nn: 13
entirely|rb: 60
compatible|jj: 16
readiness|nn: 13
opponents|nns: 13
if|cs: 2112
me|ppo: 1139
pleasure|nn: 58
hard|jj: 134
things|nns: 344
shut|vb: 15
forever|rb: 36
vein|nn: 25
continue|vb: 104
truth|nn: 122
must|md: 973
hotter|jjr: 6
fire|nn: 159
shed|vbd: 2
yielded|vbd: 7
living|vbg: 155
sacrifice|nn: 18
disturbed|vbn: 22
worked|vbd: 72
people's|nns$: 14
endeavor|nn: 5
capture|vb: 12
faint|jj: 24
strenuous|jj: 11
fight|nn: 51
muffled|vbn: 10
indifference|nn: 17
very|ap: 89
seemed|vbd: 298
central|jj: 108
hope|nn: 90
survival|nn: 28
literal|jj: 15
factual|jj: 6
miracles|nns: 8
reported|vbn: 66
four|cd-tl: 6
gospels|nps: 4
idle|jj: 12
ask|vb: 120
why|wrb: 381
no|ql: 137
longer|rbr: 124
somebody|pn: 51
deepest|jjt: 12
piety|nn: 4
decides|vbz: 10
anew|rb: 6
importance|nn: 107
whether|cs: 267
christ|np: 85
transformed|vbd: 3
water|nn: 413
wine|nn: 70
eleven|cd: 33
a.m.|rb: 35
third|od: 173
august|np: 50
a.d.|rb: 10
32|cd: 10
answer|nn: 102
as|in: 117
alarmed|vbn: 8
give|vb: 368
credit|nn: 52
taken|vbn: 270
right|jj: 221
side|nn: 357
unnecessary|jj: 13
controversy|nn: 26
pass|vb: 63
on|rp: 526
forgetting|vbg: 7
entire|jj: 147
episode|nn: 11
leisure|nn: 9
skill|nn: 41
comprehend|vb: 5
working|vbg: 145
mind|nn: 281
graduate|nn: 21
contradict|vb: 4
most|ql: 630
formidable|jj: 16
instructor|nn: 8
norton|np: 8
jesus|np: 57
like|cs: 973
religious|jj: 154
teachers|nns: 67
see|vb: 755
miracle|nn: 15
proves|vbz: 16
doctrine|nn: 36
missionary|nn: 10
obligation|nn: 16
proclaim|vb: 6
gospel|nn: 9
once|rb: 403
left|vbn: 176
zealous|jj: 4
individuals|nns: 68
voluntary|jj: 22
societies|nns: 36
part|nn: 450
movement|nn: 117
looked|vbn: 38
upon|rb: 41
essential|jj: 75
life|nn: 654
education|nn: 165
children|nns: 337
too|rb: 270
hardly|rb: 90
congregation|nn: 45
assume|vb: 60
full|jj: 211
school|nn: 406
thought|vbn: 74
failing|vbg: 17
serious|jj: 111
weakness|nn: 45
ecumenical|jj: 26
generally|rb: 126
regarded|vbn: 44
responsibility|nn: 115
national|jj: 214
leaders|nns: 97
each|dt: 859
executives|nns: 7
pastors|nns: 6
laymen|nns: 6
believe|vb: 192
important|jj: 358
lies|vbz: 40
outside|in: 82
province|nn: 14
even|vb: 28
dismiss|vb: 5
concerns|vbz: 13
rover|np-tl: 1
boys|nns-tl: 7
dubbed|vbn: 3
like|vb: 198
go|vb: 585
international|jj: 108
assemblies|nns: 6
expense|nn: 48
accounts|nns: 26
permit|vb: 63
as|ql: 1070
long|rb: 183
view|nn: 163
prevails|vbz: 7
will|md: 2082
halt|vb: 7
next|ap: 286
stage|nn: 167
ahead|rb: 106
making|vbg: 223
thoroughly|rb: 30
local|jj: 272
community|nn: 215
progress|nn: 105
take|vb: 579
place|nn: 457
far|ql: 126
through|in: 867
summit|nn: 3
conference|nn: 58
national|jj-tl: 150
council|nn-tl: 75
world|nn-tl: 95
offices|nns: 39
denominational|jj: 9
boards|nns: 37
happens|vbz: 39
communities|nns: 41
where|wrb: 900
live|vb: 148
together|rb: 257
front|jj: 73
advance|nn: 39
witnessing|vbg: 5
traditions|nns: 20
until|cs: 331
terms|nns: 155
makes|vbz: 165
attitudes|nns: 44
programs|nns: 137
relationships|nns: 35
inevitable|jj: 31
aspect|nn: 42
unity|nn: 65
profess|vb: 5
meetings|nns: 28
main|jjs-tl: 10
street|nn-tl: 96
nation|nn: 109
the|at-hl: 245
ecumenical|jj-hl: 2
congregation|nn-hl: 1
relation|nn: 62
decisive|jj: 17
question|nn: 220
hearts|nns: 20
members|nns: 309
meet|vb: 135
almost|ql: 152
carried|vbn: 63
grass|nn: 51
roots|nns: 21
describing|vbg: 17
unfortunate|jj: 18
implies|vbz: 16
whatever|wdt: 107
over-all|jj: 33
organization|nn: 104
top|nn: 124
needs|vbz: 56
so-called|jj: 32
lower|jjr: 105
levels|nns: 65
just|rb: 758
true|jj: 213
character|nn: 114
integral|jj: 13
unit|nn: 95
whole|jj: 247
people|nns-tl: 9
of|in-tl: 1126
god|np-tl: 29
throughout|in: 121
misconception|nn: 4
problems|nns: 228
solved|vbn: 17
knowledge|nn: 144
world-wide|jj: 10
extension|nn: 32
connections|nns: 13
needed|vbn: 122
information|nn: 260
active|jj: 78
commitment|nn: 13
total|nn: 129
basic|jj: 157
hardly|ql: 13
emphasize|vb: 20
realize|vb: 65
gathered|vbn: 10
fellowship|nn: 26
meeting|vbg: 31
regularly|rb: 20
face|nn: 302
personally|rb: 38
sharing|vbg: 20
common|jj: 196
experience|nn: 250
expressing|vbg: 23
daily|jj: 44
unique|jj: 58
idea|nn: 184
feature|nn: 29
religions|nns: 18
mistaken|vbn: 16
jewish|jj: 64
affords|vbz: 4
parallel|nn: 10
buddhism|np: 9
taoism|np: 4
although|cs: 309
sacred|jj: 34
scriptures|nns: 4
priests|nns: 16
spiritual|jj: 61
disciplines|nns: 4
places|nns: 90
prayer|nn: 24
household|nn: 31
faith|nn: 91
characteristic|jj: 42
individual|nn: 77
altar|nn: 4
shrine|nn: 5
rather|in: 118
continuing|vbg: 60
group|nn: 366
distinctive|jj: 19
kind|nn: 282
far|rb: 248
falls|nns: 4
below|in: 80
testament|nn-tl: 23
means|vbz: 101
UNK|fw-nn: 188
little|ql: 105
gracious|jj: 8
likes|vbz: 18
acts|nns-tl: 2
UNK|nns-tl: 176
new|jj: 1026
depth|nn: 53
derived|vbn: 38
awareness|nn: 32
corporate|jj: 17
dietrich|np: 4
puts|vbz: 20
consists|vbz: 42
solely|rb: 17
mean|vb: 153
whom|wpo: 142
level|nn: 193
merely|rb: 126
prefer|vb: 25
association|nn: 46
vast|jj: 60
describes|vbz: 22
found|vbn: 258
average|jj: 63
building|nn: 93
really|rb: 212
sees|vbz: 33
universal|jj: 39
vital|jj: 52
body|nn-tl: 4
christ|np-tl: 7
participating|vbg: 15
necessary|jj: 213
exists|vbz: 39
course|nn: 445
perspective|nn: 26
dealing|vbg: 43
directly|rb: 129
nearby|jj: 23
particular|jj: 156
viewpoint|nn: 16
valid|jj: 20
related|vbn: 92
neither|dtx: 35
adequate|jj: 65
stands|vbz: 47
alone|rb: 180
difficulty|nn: 73
arises|vbz: 13
either|dtx: 61
all|ql: 231
divergent|jj-hl: 1
UNK|nns-hl: 57
little|jj: 273
illustrative|jj: 5
afforded|vbn: 7
incident|nn: 30
professor|nn-tl: 28
second|od-tl: 9
great|jj: 590
native|jj: 34
geneva|np: 11
renew|vb: 4
contacts|nns: 23
member|nn: 129
provisional|jj-tl: 2
committee|nn-tl: 86
churches|nns-tl: 13
mishap|nn: 4
breaking|vbg: 21
providing|vbg: 54
ones|nns: 110
glasses|nns: 28
used|vbd: 135
symbol|nn: 53
vision|nn: 53
required|vbn: 149
distant|jj: 35
keep|vb: 249
christian|np: 13
tend|vb: 39
compete|vb: 23
stirred|vbn: 8
crises|nns: 21
encounter|nn: 13
large|jj: 350
eyes|nns: 369
doing|vbg: 154
town|nn: 197
escape|vb: 43
dickens|np: 15
pictured|vbd: 2
mrs.|np: 521
falling|vbg: 30
her|pp$: 1877
concern|nn: 84
natives|nns: 11
intense|jj: 36
she|pps: 2767
forgot|vbd: 16
neglected|vbd: 2
likewise|rb: 18
absorbed|vbn: 22
totalitarian|jj: 6
state|nn: 515
east|jj-tl: 95
germany|np-tl: 18
precarious|jj: 8
revolutionary|jj: 17
china|np: 43
anguish|nn: 7
over|in: 812
south|jj-tl: 73
africa|np-tl: 13
loses|vbz: 12
close|jj: 78
contact|nn: 53
parish|nn: 10
indispensable|jj: 15
ministry|nn: 7
worship|nn: 29
pastoral|jj: 6
service|nn: 212
counseling|nn: 4
nurture|nn: 2
many|abn: 22
pastor|nn: 17
intimate|jj: 20
personal|jj: 182
needs|nns: 90
does|doz: 456
nothing|pn: 398
lead|vb: 79
result|nn: 190
thinking|vbg: 103
satisfaction|nn: 28
connection|nn: 64
serves|vbz: 37
families|nns: 66
exaggeration|nn: 5
ninety|cd: 12
per|in: 362
cent|nn: 152
finance|nn: 9
poured|vbn: 7
private|jj: 180
domestic|jj: 59
interests|nns: 79
lives|vbz: 29
gap|nn: 11
appears|vbz: 83
comfortable|jj: 36
suburbs|nns: 15
eminently|ql: 3
successful|jj: 91
according|in: 123
conventional|jj: 50
standards|nns: 66
growing|vbg: 103
numbers|nns: 123
agreeable|jj: 8
friends|nns: 139
beautiful|jj: 120
preaching|nn: 7
music|nn: 182
women|nns: 172
under|in: 674
heavy|jj: 102
strain|nn: 29
provides|vbz: 81
sick|jj: 51
troubled|vbn: 22
helps|vbz: 27
grow|vb: 59
nodding|vbg: 6
acquaintance|nn: 9
bible|np: 45
draws|vbz: 12
young|jj: 347
circle|nn: 54
generation|nn: 51
easy|jj: 109
lose|vb: 56
sight|nn: 80
help|vb: 203
understand|vb: 133
roles|nns: 33
conception|nn: 31
includes|vbz: 44
issues|nns: 58
desperate|jj: 26
urgency|nn: 11
mankind|nn: 33
stirring|vbg: 13
confront|vb: 8
racial|jj: 25
tensions|nns: 17
helping|vbg: 43
face|vb: 50
crisis|nn: 75
involved|vbn: 118
use|nn: 348
nuclear|jj: 109
much|ap: 479
economic|jj: 216
industrial|jj: 107
raising|vbg: 26
disturbing|jj: 14
relationship|nn: 86
richest|jjt: 5
economically|rb: 11
underdeveloped|jj: 10
peoples|nns: 36
developing|vbg: 51
strategy|nn: 22
emerge|vb: 17
asia|np: 25
africa|np: 31
bluntly|rb: 7
giving|vbg: 93
consciously|rb: 12
want|vb: 300
disturbing|vbg: 2
thoughts|nns: 50
shall|md: 261
make|vb: 771
such|abl: 304
begins|vbz: 54
haven|nn: 5
peace|nn: 119
base|nn: 76
witness|nn: 17
revealing|jj: 4
rancher|nn: 14
owned|vbd: 15
slice|nn: 10
texas|np: 43
everything|pn: 173
completely|ql: 46
pleasant|jj: 32
built|vbd: 19
library|nn: 48
recreation|nn: 36
center|nn: 170
inn|nn: 5
desiring|vbg: 5
fill|vb: 47
only|ap: 355
remaining|vbg: 41
lack|nn: 96
selected|vbd: 8
best|jjt: 282
site|nn: 63
ranch|nn: 26
chapel|nn: 10
spared|vbd: 3
visitor|nn: 11
inquired|vbd: 13
belong|vb: 34
rancher|nn-tl: 1
no|rb: 168
ma'am|nn: 2
replied|vbd: 53
belongs|vbz: 21
reflects|vbz: 22
feel|vb: 186
regards|vbz: 5
thinks|vbz: 19
my|pp$: 1278
significant|jj: 85
first|rb: 322
deeper|jjr: 28
purpose|nn: 140
preferences|nns: 4
determines|vbz: 14
local|jj-hl: 2
embodiment|nn-hl: 1
of|in-hl: 203
whole|jj-hl: 1
function|nn: 104
conscious|jj: 45
desires|nns: 20
concerns|nns: 28
tends|vbz: 31
look|vb: 295
extra|jj: 44
normal|jj: 131
doubtless|rb: 13
greatly|rb: 60
surprised|vbn: 48
yet|cc: 129
existence|nn: 105
being|beg: 652
embodiment|nn: 8
tradition|nn: 89
poetry|nn: 85
marriage|nn: 90
bed|nn: 121
harmony|nn: 21
partners|nns: 14
bring|vb: 154
takes|vbz: 81
away|rb: 442
equal|jj: 80
share|nn: 53
joy|nn: 39
ecstatic|jj: 4
moments|nns: 48
husband|nn: 130
wife|nn: 219
elevated|vbn: 10
above|in: 181
worldly|jj: 9
cares|nns: 1
closed|vbn: 63
ideal|jj: 39
experts|nns: 36
contribution|nn: 35
seldom|rb: 33
achieved|vbn: 49
instead|rb: 164
partner|nn: 29
dominates|vbz: 7
sexual|jj: 57
past|nn: 96
dominant|jj: 65
passive|jj: 11
signs|nns: 66
reversed|vbn: 8
number|nn: 449
american|jj: 408
homes|nns: 60
report|vb: 35
taking|vbg: 164
commanding|vbg: 9
role|nn: 101
surroundings|nns: 8
frequency|nn: 22
act|nn: 93
says|vbz: 194
questions|nns: 131
technique|nn: 56
mechanics|nns: 16
tailored|vbn: 9
theirs|pp$$: 21
certain|jj: 210
woman|nn: 214
nature|nn: 176
seen|vbn: 267
marriages|nns: 27
boss|nn: 18
marital|jj: 10
remain|vb: 91
old-fashioned|jj: 7
maintains|vbz: 16
supremacy|nn: 4
psychologists|nns: 11
wives|nns: 17
asserting|vbg: 4
strongly|rb: 35
UNK|jjt: 163
submissive|jj: 4
tiger|nn: 5
mother's|nn$: 33
UNK|nn$: 507
trend|nn: 43
consider|vb: 124
simply|rb: 168
sign|nn: 67
times|nns: 253
her|ppo: 1082
independence|nn: 45
assert|vb: 19
herself|ppl: 122
vacuum|nn: 20
declares|vbz: 11
mary|np: 80
steichen|np: 10
calderone|np: 6
medical|jj: 115
director|nn: 76
planned|vbn-tl: 3
parenthood|nn-tl: 3
federation|nn-tl: 12
america|np: 112
author|nn: 44
release|nn-tl: 1
from|in-tl: 8
sexual|jj-tl: 1
tensions|nns-tl: 1
going|vbg: 379
areas|nns: 232
likely|jj: 119
produce|vb: 72
agree|vb: 47
domination|nn: 15
sex|nn: 81
unhealthy|jj: 4
dangerous|jj: 41
wreck|vb: 2
sexually|rb: 6
selfish|jj: 8
wife's|nn$: 14
cheated|vbn: 4
fulfillment|nn: 12
regard|vb: 32
savage|jj: 19
unworthy|jj: 5
target|nn: 45
ridicule|nn: 2
since|cs: 404
affairs|nns: 59
rarely|rb: 38
outside|jj: 40
well|rb: 635
survive|vb: 33
almost|rb: 265
stress|nn: 94
except|in: 170
open|jj: 232
direct|jj: 103
challenge|nn: 21
husband's|nn$: 16
supported|vbn: 36
nation's|nn$: 32
leading|vbg: 65
psychiatrists|nns: 5
