furthermore|rb: 0.0010200034000113333
association|nn-tl: 0.00655813594630044
decide|vb: 0.0012264295569523226
``|``: 1.0
encouraged|vbn: 0.0008459640465280226
nor|cc: 0.005126658624849216
assisted|vbn: 0.00014099400775467044
UNK|vbg: 0.13128700350635167
his|pp$: 0.414066792844496
opinions|nns: 0.000803047846711239
those|dts: 0.3418913136499786
who|wps: 0.5718405873099108
differ|vb: 0.000521232561704737
from|in: 0.03606083663192812
regard|nn: 0.00034436424283756136
their|pp$: 0.15745772025154162
''|'': 1.0
we|ppss: 0.19046544852996466
today|nr: 0.18092749836708033
are|ber: 0.9983544898918665
entitled|vbn: 0.0018681706027493831
UNK|vb: 0.04277173079871225
honest|jj: 0.0007408719741016927
men|nns: 0.013614462331453329
believed|vbd: 0.001812807881773399
downright|ql: 0.0005904581955597543
UNK|jj: 0.11217768042648456
barred|vbd: 7.881773399014778e-05
UNK|nns: 0.11136219325439808
against|in: 0.005026972958647163
demand|nn: 0.0004929135240616075
poison|vb: 3.066073892380806e-05
minds|nns: 0.0010271542225376313
congregations|nns: 0.0003174840324207224
one|pn: 0.2143439282803586
can|md: 0.14263192831065383
argue|vb: 0.0008891614287904339
though|cs: 0.01846756517278366
delicate|jj: 0.0004026478120117895
matter|nn: 0.0018501137752449375
every|at: 0.005012056311926799
justification|nn: 0.00010128360083457687
existed|vbd: 0.0009852216748768472
for|in: 0.0734382614196924
returning|vbg: 0.001954359947117319
public|jj-tl: 0.00751503006012024
lecture|nn-tl: 7.715454054471106e-05
first|od-tl: 0.2552083333333333
church|nn-tl: 0.009104235784275905
suppress|vb: 0.00018396443354284838
it|ppo: 0.2576136258446728
rather|rb: 0.003881679605598685
than|cs: 0.058713799375087444
let|vb: 0.009842097194542388
use|vb: 0.006745362563237774
board|nn: 0.0011006151290690687
propaganda|nn: 0.0001755582414465999
when|wrb: 0.5170832377894978
turn|nn: 0.0005536836845623535
come|vb: 0.012877510347999386
occupy|vb: 0.0003985896060095048
finally|rb: 0.005270017566725222
did|dod: 0.996011964107677
seem|vb: 0.0066840410853901576
clear|jj: 0.0030118056338481855
day|nn: 0.0040716007535499905
these|dts: 0.6534017971758665
clergymen|nns: 0.00011205318791319613
UNK|np$: 0.5850340136054422
son|nn: 0.0009250568876224687
explained|vbd: 0.0023645320197044333
biography|nn: 8.777912072329996e-05
father|nn: 0.0010871106489577917
they|ppss: 0.26287690803819835
had|hvd: 1.0
always|rb: 0.012523375077916926
contended|vbn: 0.00017624250969333803
propriety|nn: 4.726568038946921e-05
claim|nn: 0.00045915232378341517
title|nn: 0.0003376120027819229
christians|nps: 0.013934426229508197
UNK|jj-tl: 0.03356713426853707
UNK|nn-tl: 0.036648406758737755
intellectual|jj: 0.0008536133614649938
liberty|nn: 0.0002430806420029845
never|rb: 0.019153397177990594
meant|vbn: 0.0010574550581600281
would|md: 0.21647859276468637
follow|vb: 0.00285144871991415
free|jj: 0.0035271948332232764
inquiry|nn: 0.00011478808094585379
extreme|nn: 6.0770160500746126e-05
proclaiming|vbg: 0.00022992469966086107
christianity|np: 0.000597853705198338
natural|jj: 0.0023997809595902655
religion|nn: 0.0007494986461758688
grant|vb: 0.0003985896060095048
all|abn: 0.9114186851211072
still|rb: 0.019380064600215335
modern|jj: 0.0030440174588091287
harvard|np-tl: 0.0033444816053511705
divinity|nn-tl: 0.0003857727027235553
school|nn-tl: 0.005632281459763907
recall|vb: 0.00095048290663805
with|in: 0.060161239302721235
humorous|jj: 0.00025769459968754527
affection|nn: 0.00011478808094585379
UNK|vbd: 0.048866995073891625
upon|in: 0.0037531311715069803
them|ppo: 0.1588447653429603
else|rb: 0.004561681872272907
after|in: 0.005710914857782831
received|vbd: 0.0024827586206896553
treatment|nn: 0.0008372777668991688
he|pps: 0.5238930045806707
invited|vbd: 0.0004334975369458128
betray|vb: 0.00012264295569523224
uneasy|jj: 0.00032211824960943163
conscience|nn: 0.0002565851221142614
whenever|wrb: 0.009630818619582664
new|jj-tl: 0.13276553106212424
england|np-tl: 0.013377926421404682
liberalism|nn: 8.10268806676615e-05
reminded|vbn: 0.00035248501938667606
dramatic|jj: 0.0009985665737892381
confrontation|nn: 3.376120027819229e-05
on|in: 0.05062024980977866
january|np: 0.001524526948255762
23|cd: 0.0031978072179077205
UNK|cd: 0.10507080858839653
while|cs: 0.026861912978594412
may|md: 0.1049618320610687
defend|vb: 0.0006132147784761613
privilege|nn: 0.00012154032100149225
chandler|np: 0.0009565659283173408
robbins|np: 0.0001793561115595014
demand|vb: 0.0006745362563237774
leave|vb: 0.005641575961980684
plead|vb: 0.00015330369461904033
dr.|nn-tl: 0.014505053622405678
n.|np: 0.0007174244462380056
l.|np: 0.0015843123187755956
warrant|nn: 6.0770160500746126e-05
stating|vbg: 0.0009196987986434443
difference|nn: 0.0009655703279562995
between|in: 0.005924646701262728
UNK|nps: 0.3598360655737705
;|.: 0.0925089179548157
mr.|np: 0.023256509132215348
despite|in: 0.0008634766476587814
supposed|vbn: 0.0019386676066267183
conclusive|jj: 0.00016105912480471581
liberal|nn: 5.401792044510767e-05
UNK|vbz: 0.12084717607973422
repeatedly|rb: 0.0005100017000056667
sigh|nn: 6.0770160500746126e-05
relief|nn: 0.0004388956036164998
positive|jj: 0.0011435197861134822
quite|rb: 0.0004250014166713889
brought|vbd: 0.00516256157635468
itself|ppl: 0.24602510460251045
officially|rb: 0.0005100017000056667
done|vbn: 0.010504053577722947
blot|nn: 3.376120027819229e-05
its|pp$: 0.11105684107698882
have|hv: 0.9992115637319317
remained|vbn: 0.0007754670426506873
indelible|jj: 6.442364992188632e-05
assemble|vb: 0.0002452859113904645
honor|vb: 0.0003372681281618887
other|ap: 0.17681410187087704
than|in: 0.0041805948584667735
getting|vbg: 0.008967063286773581
down|rp: 0.11569537562317346
collective|jj: 0.0004026478120117895
knees|nns: 0.0007096701901169088
crying|vbg: 0.0008047364488130138
UNK|fw-vbd: 1.0
happily|rb: 0.0005666685555618518
posterity|nn: 3.376120027819229e-05
boston|np-tl: 0.002829945973758683
actually|rb: 0.004561681872272907
command|vb: 0.00030660738923808065
room|nn: 0.002343027299306545
came|vbd: 0.023605911330049262
too|ql: 0.06270666036844591
close|rb: 0.002720009066696889
comfort|nn: 0.00027684184228117677
what|wdt: 0.3330848089468779
been|ben: 1.0
brutality|nn: 8.777912072329996e-05
fortunately|rb: 0.0005383351277837593
honor|nn: 0.000324107522670646
denomination|nn: 5.401792044510767e-05
cyrus|np: 0.0001195707410396676
defended|vbd: 0.000354679802955665
sincerity|nn: 8.777912072329996e-05
also|rb: 0.029155097183657278
whereupon|cs: 0.00027981159352702514
broke|vbd: 0.002522167487684729
into|in: 0.01483298993750481
weeping|vbg: 0.00028740587457607634
rushed|vbd: 0.000748768472906404
out|in: 0.003710384802811001
fellowship|nn-tl: 0.0006172363243576885
hall|nn: 0.0006819762456194842
adjournment|nn: 2.7008960222553833e-05
took|vbd: 0.01631527093596059
warmly|rb: 0.00017000056666855557
hand|nn: 0.002680639302088468
requested|vbd: 0.00019704433497536947
visit|vb: 0.0015330369461904031
our|pp$: 0.07143293241345626
theodore|np: 0.0003288195378590859
again|rb: 0.015753385844619484
burst|vbd: 0.0004334975369458128
tears|nns: 0.0006162925335225787
near|jj: 0.0002415886872070737
tragedy|nn: 0.0003038508025037306
which|wdt: 0.6460391425908667
us|ppo: 0.059427936684254376
borders|vbz: 0.0002768549280177187
comedy|nn: 0.0002565851221142614
enables|vbz: 0.0012458471760797341
tell|vb: 0.00775716694772344
story|nn: 0.0009790748080675763
over|rp: 0.06549767921609077
warming|vbg: 0.0005173305742369374
ourselves|ppls: 0.1893491124260355
glow|nn: 8.10268806676615e-05
complacency|nn: 2.7008960222553833e-05
indeed|rb: 0.004023346744489148
thing|nn: 0.002140460097637391
but|cc: 0.11190920057023797
somehow|rb: 0.0019266730889102963
inherent|jj: 0.0004187537244922611
decency|nn: 6.752240055638458e-05
(|(: 0.9995466908431551
inherit|vb: 0.00012264295569523224
)|): 0.999548532731377
triumph|vb: 3.066073892380806e-05
excommunicated|vbn: 0.00014099400775467044
extent|nn: 0.0006752240055638458
solace|vb: 3.066073892380806e-05
saying|vbg: 0.0063229292406736795
asked|vbd: 0.011467980295566503
yet|rb: 0.00784835949453165
christian|jj: 0.001610591248047158
laid|vbn: 0.0016919280930560452
rest|nn: 0.0008980479273999149
more|ap: 0.10381745430950579
university|nn-tl: 0.009412853946454748
having|hvg: 0.989010989010989
penance|nn: 3.376120027819229e-05
rejection|nn: 7.427464061202304e-05
ralph|np: 0.0006576390757181718
the|at-tl: 0.9059945504087193
address|nn-tl: 7.715454054471106e-05
naming|vbg: 0.0001724435247456458
philosophy|nn: 0.0005536836845623535
both|abx: 1.0
cases|nns: 0.002670600978597841
stubborn|jj: 0.00019327094976565897
fact|nn: 0.0028494453034794294
remains|vbz: 0.009828349944629014
:|:: 1.0
gave|vbd: 0.010916256157635468
birth|nn: 0.0003038508025037306
two|cd: 0.10408101111618699
brilliant|jj: 0.000805295624023579
legitimate|jj: 0.0002415886872070737
offspring|nns: 3.7351062637732046e-05
brought|vbn: 0.0040535777229467745
test|nn: 0.0006144538450630997
behaved|vbd: 0.00039408866995073894
suppose|vb: 0.002820787980990342
ventured|vbn: 0.00010574550581600282
colleagues|nns: 0.0004295372203339185
thought|vbd: 0.013083743842364532
way|nn: 0.005746156287348328
settle|vb: 0.0007051969952475855
frank|jj: 0.00025769459968754527
differences|nns: 0.0014380159115526838
opinion|nn: 0.0006347105652300151
?|.: 0.07559028367589604
possible|jj: 0.00591086988033307
how|wrb: 0.14010548039440496
liberals|nns: 0.0004108616890150525
trumpet|vb: 3.066073892380806e-05
confidence|nn: 0.0003578687229488383
human|jj: 0.004139219507481196
dignity|nn: 0.00022282392183606913
exposed|vbn: 0.0009517095523440254
fear|nn: 0.0006347105652300151
more|ql: 0.1144307982994804
conservative|nn: 2.0256720166915374e-05
ever|rb: 0.009350031166770556
worry|vb: 0.0012877510347999387
about|in: 0.010207832844599852
however|rb: 0.011163370544568481
there|ex: 0.9990476190476191
crucial|jj: 0.0004187537244922611
histories|nns: 0.00016807978186979418
emerson|np: 0.0001793561115595014
problem|nn: 0.002005415296524622
shoving|vbg: 0.0003448870494912916
aside|rb: 0.0018416728055760186
leaving|vbg: 0.005000862217623728
behind|in: 0.0019235865913190674
walked|vbd: 0.005517241379310344
communion|nn: 6.752240055638458e-05
so|cs: 0.021685398498344447
wound|nn: 0.00010803584089021533
departure|nn: 0.00010803584089021533
preserve|vb: 0.000919822167714242
self-respect|nn: 2.7008960222553833e-05
eventually|rb: 0.001331671105570352
accord|vb: 6.132147784761612e-05
pious|jj: 0.00014495321232424423
insisted|vbd: 0.0015369458128078818
majority|nn: 0.0003713732030601152
wanted|vbd: 0.0076453201970443346
depart|vb: 0.00021462517246665643
daring|vbg: 0.000632292924067368
throw|vb: 0.0010731258623332823
out|rp: 0.2692109334708613
hence|rb: 0.0016150053833512779
lifetime|nn: 6.752240055638458e-05
memory|nn: 0.0005064180041728844
afterwards|rb: 0.0003966679888932963
within|in: 0.0029836965349793534
liberal|jj: 0.0007569778865821643
sensitivity|nn: 0.00018906272155787683
points|vbz: 0.0024916943521594683
accusing|vbg: 0.00045984939932172214
finger|nn: 0.0002700896022255383
at|in: 0.04438782925390488
telling|vbg: 0.0023567281715238257
neither|cc: 0.0025770369558065576
courage|nn: 0.0001958149616135153
support|vb: 0.001502376207266595
energy|nn: 0.0006077016050074612
cut|vb: 0.0026368235474474935
throat|nn: 0.00026333736216989985
dispute|nn: 0.00020256720166915375
society|nn: 0.0012761733705156685
time|nn: 0.010249900404459179
ecclesiastical|jj: 0.00012884729984377264
social|jj: 0.005492116155840809
real|jj: 0.0035916184831451627
one|cd: 0.20077661032434901
bitter|jj: 0.0008214015365040506
cannot|md*: 0.3
smoothed|vbn: 0.00010574550581600282
now|rb: 0.035785119283730946
delightful|jj: 0.00037043598705084634
bits|nns: 0.00022410637582639226
solemnly|rb: 0.00025500085000283333
calling|vbg: 0.002414209346439041
reconsideration|nn: 2.7008960222553833e-05
justice|nn: 0.000486161284005969
objections|nns: 0.00022410637582639226
that|dt: 0.2494833524684271
world|nn: 0.004415964996387552
boston|np: 0.001464741577735928
intellectually|rb: 0.00014166713889046296
sterile|jj: 0.00014495321232424423
smug|jj: 0.00011274138736330107
afraid|jj: 0.0008375074489845222
logical|jj: 0.0005314951118555621
consequences|nns: 0.0006349680648414448
own|jj: 0.01170899837330284
mild|jj: 0.00022548277472660215
ventures|nns: 7.470212527546409e-05
quite|ql: 0.02574397732640529
prepared|vbn: 0.0031371166725414168
resort|vb: 0.00018396443354284838
hysterical|jj: 0.00012884729984377264
foundations|nns: 0.0002427819071452583
threatened|vbn: 0.0004582305252026789
along|rb: 0.004250014166713889
charles|np: 0.0025707709323528533
showed|vbd: 0.005320197044334975
magnificent|jj: 0.0004187537244922611
moral|jj: 0.0021259804474222485
bravery|nn: 2.7008960222553833e-05
facing|vbg: 0.001954359947117319
mobs|nns: 7.470212527546409e-05
mobilized|vbn: 0.00014099400775467044
defense|nn: 0.0008170210467322534
mexican|jj-tl: 0.000501002004008016
war|nn-tl: 0.01172749016279608
slavery|nn: 0.000162053761335323
nevertheless|rb: 0.001955006516688389
find|vb: 0.011743063007818489
reasons|nns: 0.001811526537930004
respecting|vbg: 0.00011496234983043054
populace|nn: 2.7008960222553833e-05
passions|nns: 0.00022410637582639226
genuine|jj: 0.0005153891993750905
division|nn: 0.0004388956036164998
abolitionists|nns: 5.6026593956598066e-05
clear-cut|jj: 9.663547488282948e-05
minister|nn: 0.0002903463223924537
pale|nn: 6.752240055638458e-06
church|nn: 0.0014382271318509915
proclaimed|vbn: 0.00014099400775467044
repository|nn: 2.7008960222553833e-05
different|jj: 0.00478345600670006
resolved|vbn: 0.0006344730348960169
holding|vbg: 0.003218945795252055
up|rp: 0.2857142857142857
champion|nn: 0.00012154032100149225
freedom|nn: 0.0007630031262871457
theological|jj: 0.00037043598705084634
become|vbn: 0.004159323228762777
fundamental|jj: 0.0007891897115431075
very|ql: 0.07947567312234294
much|rb: 0.005836686122287074
endlessly|rb: 0.00019833399444664816
i|ppss: 0.3761185051507632
here|rb: 0.019946733155777188
put|vb: 0.0058562011344473405
thus|rb: 0.00818836062786876
point|nn: 0.002343027299306545
do|do: 0.9976708074534162
tolerant|jj: 0.00012884729984377264
themselves|ppls: 0.7840236686390533
obliged|vbn: 0.0006344730348960169
become|vb: 0.007021309213552047
aware|jj: 0.0013367907358791413
reached|vbn: 0.0021854071201973914
end|nn: 0.0023632840194734604
patience|nn: 0.00013504480111276916
dismay|nn: 3.376120027819229e-05
learn|vb: 0.0025141805917522613
first|od: 0.5083467959073775
doubt|nn: 0.0006279583251743766
era|nn: 0.00018906272155787683
UNK|ql: 0.014525271610769958
cruel|jj: 0.0002415886872070737
enforcing|vbg: 0.00022992469966086107
canons|nns: 0.00011205318791319613
behavior|nn: 0.0006279583251743766
gentle|jj: 0.0004187537244922611
channing|np: 0.0001494634262995845
revered|vbn: 0.00017624250969333803
orthodox|jj: 0.00014495321232424423
wrote|vbd: 0.006857142857142857
friend|nn: 0.0008575344870660842
louisville|np: 0.0001494634262995845
among|in: 0.00294949944002257
many|ap: 0.10425002703579539
virtues|nns: 0.0002614574384641243
spirit|nn: 0.001033092728512684
crushed|vbd: 7.881773399014778e-05
individuality|nn: 2.7008960222553833e-05
judgment|nn: 0.0003848776831713921
action|nn: 0.0019243884158569606
city|nn: 0.0017488301744103605
governed|vbn: 0.0004934790271413465
so|ql: 0.10710911667453944
little|rb: 0.00014166713889046296
police|nn: 0.0004929135240616075
mutual|jj: 0.0003382241620899032
called|vbn: 0.007825167430384208
public|jj: 0.00428417271980544
sentiment|nn: 0.00014179704116840762
stand|vb: 0.0031887168480760385
more|rbr: 0.16392020815264527
awe|nn: 3.376120027819229e-05
another|dt: 0.07600459242250288
most|ap: 0.050502865794311666
people|nns: 0.015108504836962612
less|ql: 0.020784128483703354
individual|jj: 0.0023675691346293224
runs|vbz: 0.0020764119601328905
masses|nns: 0.00039218615769618645
often|rb: 0.010115033716779055
rules|vbz: 0.0004152823920265781
rod|nn: 3.376120027819229e-05
iron|nn: 0.00023632840194734604
even|ql: 0.01358053849787435
insight|nn: 0.00014854928122404607
genius|nn: 0.00015530152127968453
added|vbd: 0.0031921182266009852
remember|vb: 0.0040778782768664725
!|.: 0.026091387803635128
trust|vb: 0.0007051969952475855
heart|nn: 0.0011208718492359841
speak|vb: 0.0032500383259236546
without|in: 0.004761945472732091
book|nn: 0.0011748897696810918
consequently|rb: 0.0008783362611208704
break|vb: 0.001931626552199908
some|dti: 0.5431794148748679
law|nn: 0.001856866015300576
speech|nn: 0.00039838216328266904
hurried|vbn: 0.00017624250969333803
little|ap: 0.041635124905374715
mercy|nn: 0.0001282925610571307
letter|nn: 0.0009048001674555534
think|vb: 0.013000153303694618
say|vb: 0.014441208033113597
reached|vbd: 0.004098522167487685
such|jj: 0.01538114641885036
commencing|vbg: 0.00045984939932172214
mission|nn: 0.00041188664339394596
disguised|vbn: 0.00031723651744800847
UNK|od: 0.04092622509423802
congregational|jj-tl: 0.00125250501002004
bore|vbd: 0.0005517241379310345
resemblance|nn: 8.777912072329996e-05
descended|vbn: 0.00014099400775467044
founders|nns: 3.7351062637732046e-05
churches|nns: 0.0014566914428715497
made|vbd: 0.017970443349753694
explicit|jj: 0.00037043598705084634
beginning|nn: 0.0005266747243397997
conflict|nn: 0.00031060304255936907
something|pn: 0.1752241238793806
genteel|jj: 6.442364992188632e-05
clerical|jj: 0.00014495321232424423
because|cs: 0.03203842745884438
spoke|vbd: 0.003310344827586207
openly|rb: 0.0008500028333427778
prophesied|vbn: 0.00010574550581600282
someone|pn: 0.036267318663406684
might|md: 0.05210753401924992
further|jjr: 0.03732912723449001
prophecy|nn: 3.376120027819229e-05
committed|vbd: 0.00015763546798029557
taste|nn: 0.0003376120027819229
promptly|rb: 0.0007366691222304075
discover|vb: 0.0011651080791047065
how|wql: 0.813953488372093
disposed|vbn: 0.0004582305252026789
allow|vb: 0.0021462517246665647
appeared|vbd: 0.0044926108374384235
proved|vbd: 0.001812807881773399
fundamentally|rb: 0.00022666742222474074
institution|nn: 0.00024983288205862294
only|rb: 0.03742845809486032
defined|vbn: 0.001339443073669369
limits|nns: 0.0006536435961603108
license|nn: 0.00023632840194734604
factors|nns: 0.0018862286632054682
situation|nn: 0.0013099345707938608
am|bem: 1.0
sure|jj: 0.003511088920742805
fresh|jj: 0.0012240493485158402
realization|nn: 0.00015530152127968453
however|wql: 0.18604651162790697
painful|jj: 0.0004026478120117895
battle|nn: 0.00046590456383905363
neighbors|nns: 0.0006536435961603108
fought|vbn: 0.0007754670426506873
earnest|jj: 0.0002415886872070737
citizens|nns: 0.0013633137862772197
language|nn: 0.000722489685953315
courtesy|nn: 4.051344033383075e-05
respond|vb: 0.0006132147784761613
least|ap: 0.033308099924299776
resentment|nn: 0.00012154032100149225
otherwise|rb: 0.0024083413611378705
lawyer|nn: 0.0002903463223924537
doctor|nn: 0.0005806926447849074
science|nn: 0.0007494986461758688
letters|nns: 0.0020729839763941283
told|vbn: 0.004476559746210786
three|cd: 0.04416019491396376
stood|vbd: 0.007605911330049261
before|in: 0.003351315305764775
golden|jj: 0.00037043598705084634
throne|nn: 2.0256720166915374e-05
merchant|nn: 6.752240055638458e-05
continually|rb: 0.0007083356944523148
cried|vbd: 0.0008669950738916256
'|': 1.0
holy|jj: 0.00030601233712896004
dollar|nn-tl: 0.0001543090810894221
sensitive|jj: 0.0009502488363478232
emotions|nns: 0.0007843723153923729
old|jj: 0.009132052376427386
puritan|jj-tl: 0.001002004008016032
stock|nn: 0.0009048001674555534
recent|jj: 0.0028346405965629985
tides|nns: 7.470212527546409e-05
immigration|nn: 2.0256720166915374e-05
astonished|vbn: 0.00017624250969333803
thin|jj: 0.0014012143858010276
lips|nns: 0.0012139095357262914
compressed|vbn: 0.0002819880155093409
white|jj: 0.0039781603826764805
line|nn: 0.001829857055078022
rage|nn: 0.00010803584089021533
snarled|vbd: 0.00031527093596059113
talk|vb: 0.003464663498390311
catholics|nps: 0.02622950819672131
voting|vbg: 0.0013220670230499512
bishop|nn: 3.376120027819229e-05
tells|vbz: 0.004706533776301218
you|ppss: 0.16685465072561848
same|ap: 0.07213150210879204
great|ql: 0.0016532829475673122
bishops|nns: 9.33776565943301e-05
had|hvn: 0.9956140350877193
cross|nn: 0.00012154032100149225
bosom|nn: 4.726568038946921e-05
head|nn: 0.0026941437821997446
appeal|vb: 0.00030660738923808065
authority|nn: 0.0005604359246179921
pope|nn-tl: 0.0017745544325283543
rome|np: 0.0019729172271545155
pope|nn: 3.376120027819229e-05
much|ql: 0.02550779404818139
nearer|in: 1.709854747839171e-05
home|nr: 0.19399085564990204
controlled|vbn: 0.001163200563976031
few|ap: 0.06293933167513788
lawyers|nns: 0.0004108616890150525
managers|nns: 0.0004295372203339185
told|vbd: 0.010916256157635468
editors|nns: 0.00033615956373958837
war|nn: 0.00197165409624643
meant|vbd: 0.0025615763546798028
business|nn: 0.002343027299306545
repeated|vbn: 0.0013746915756080366
care|nn: 0.0005671881646736305
know|vb: 0.01992948030047524
intended|vbd: 0.00039408866995073894
caught|vbn: 0.001515685583362707
worse|jjr: 0.024710830704521555
deceived|vbd: 3.940886699507389e-05
implied|vbd: 0.00019704433497536947
bad|jj: 0.0020776627099808338
indeed|qlp: 0.05179282868525897
duty|nn: 0.0003916299232270306
said|vbd: 0.06727093596059114
parents|nns: 0.00164344675606021
given|vbn: 0.012724709199859007
rule|nn: 0.0003916299232270306
beyond|in: 0.0013080388820969659
love|nn: 0.0010871106489577917
that|wps: 0.4221289984268485
suffused|vbd: 0.00015763546798029557
being|nn: 0.00018231048150223837
sense|nn: 0.001944645136023876
humor|nn: 0.00028359408233681523
largely|rb: 0.0014450048166827223
supplied|vbn: 0.0008812125484666902
perform|vb: 0.0008891614287904339
cost|vbd: 0.00039408866995073894
acute|jj: 0.00019327094976565897
pain|nn: 0.000573940404729269
exhausted|vbd: 0.00011822660098522167
age|nn: 0.0014112181716284377
fifty|cd: 0.005101263895233745
weep|vb: 0.00036792886708569676
wept|vbd: 0.00027586206896551725
astonishingly|ql: 0.0004723665564478035
slightest|jjt: 0.013211382113821139
provocation|nn: 3.376120027819229e-05
psychology|nn: 8.777912072329996e-05
entirely|rb: 0.0017000056666855556
compatible|jj: 0.00025769459968754527
readiness|nn: 8.777912072329996e-05
opponents|nns: 0.0002427819071452583
if|cs: 0.09849368092151285
me|ppo: 0.10543367583078775
pleasure|nn: 0.0003916299232270306
hard|jj: 0.0021581922723831917
things|nns: 0.006424382773689912
shut|vb: 0.000459911083857121
forever|rb: 0.0010200034000113333
vein|nn: 0.00016880600139096145
continue|vb: 0.0031887168480760385
truth|nn: 0.0008237732867878919
must|md: 0.08073348821772319
hotter|jjr: 0.0031545741324921135
fire|nn: 0.0010736061688465148
shed|vbd: 7.881773399014778e-05
yielded|vbd: 0.00027586206896551725
living|vbg: 0.008909582111858366
sacrifice|nn: 0.00012154032100149225
disturbed|vbn: 0.0007754670426506873
worked|vbd: 0.00283743842364532
people's|nns$: 0.05533596837944664
endeavor|nn: 3.376120027819229e-05
capture|vb: 0.00036792886708569676
faint|jj: 0.00038654189953131793
strenuous|jj: 0.0001771650372851874
fight|nn: 0.00034436424283756136
muffled|vbn: 0.00035248501938667606
indifference|nn: 0.00011478808094585379
very|ap: 0.009624743159943766
seemed|vbd: 0.01174384236453202
central|jj: 0.0017394385478909308
hope|nn: 0.0006077016050074612
survival|nn: 0.00018906272155787683
literal|jj: 0.0002415886872070737
factual|jj: 9.663547488282948e-05
miracles|nns: 0.00014940425055092818
reported|vbn: 0.002326401127952062
four|cd-tl: 0.006749156355455568
gospels|nps: 0.003278688524590164
idle|jj: 0.00019327094976565897
ask|vb: 0.003679288670856968
why|wrb: 0.08736528319192846
no|ql: 0.01617855455833727
longer|rbr: 0.10754553339115351
somebody|pn: 0.02078239608801956
deepest|jjt: 0.012195121951219513
piety|nn: 2.7008960222553833e-05
decides|vbz: 0.0013842746400885937
anew|rb: 0.00017000056666855557
importance|nn: 0.000722489685953315
whether|cs: 0.012451615911952619
christ|np: 0.0025408782470929363
transformed|vbd: 0.00011822660098522167
water|nn: 0.002788675142978683
wine|nn: 0.0004726568038946921
eleven|cd: 0.002512562814070352
a.m.|rb: 0.0009916699722332407
third|od: 0.09316101238556812
august|np: 0.0014946342629958448
a.d.|rb: 0.0002833342777809259
32|cd: 0.0007613826709304097
answer|nn: 0.0006887284856751227
as|in: 0.001000265027485915
alarmed|vbn: 0.0002819880155093409
give|vb: 0.011283151923961367
credit|nn: 0.0003511164828931998
taken|vbn: 0.009517095523440254
right|jj: 0.0035594066581842196
side|nn: 0.0024105496998629294
unnecessary|jj: 0.00020937686224613056
controversy|nn: 0.0001755582414465999
pass|vb: 0.001931626552199908
on|rp: 0.09042461750042978
forgetting|vbg: 0.0004023682244065069
entire|jj: 0.0023675691346293224
episode|nn: 7.427464061202304e-05
leisure|nn: 6.0770160500746126e-05
skill|nn: 0.00027684184228117677
comprehend|vb: 0.00015330369461904033
