The tag-bigram has the form ti|ti-1
ppls|vb: 111
pps|vbg: 36
dts|abn: 63
rb|bez: 1130
dti|,: 133
ap|dti: 133
cs|ap: 319
bez|cs: 30
np-tl|in: 521
hvg|in: 72
vbn|hvg: 82
at|vbn: 1244
np$|np: 505
at-tl|np$: 24
nn-tl|at-tl: 360
abx|in: 224
nns|abx: 178
at|nns: 409
:|vbz: 75
nn|:: 98
nn|vbd: 514
jj|cd: 647
abx|,: 92
jj|abx: 70
wrb|cc: 275
vbn|wrb: 94
rb|vbd: 1739
.|rb: 2733
ppss|vb: 228
abx|ppss: 19
hvd|abx: 7
vbn|hvd: 2087
wdt|nns: 504
pp$|wdt: 67
vbd|nns: 1375
jj|vbd: 634
:|jj: 67
bez|:: 4
dt|bez: 113
at|dt: 24
nns|nn: 5838
vb|nns: 1484
bez|.: 56
pps|bez: 79
in|pps: 25
jj|abn: 154
at|wrb: 781
pp$|vb: 1600
ppss|nn: 701
ber|ppss: 677
vbn|ber: 1007
ql|nn: 483
rb|hvz: 220
.|in: 150
ex|,: 320
bez|ex: 545
cd|at: 951
nns|cd: 3445
ppo|vbg: 648
:|ppo: 34
pps|:: 49
cs|cs: 659
vb|,: 816
jj|ppo: 292
*|in: 33
vbg|*: 157
wrb|rb: 227
,|vb: 1130
to|nn-tl: 74
rp|ppo: 333
.|rp: 564
pps|rb: 605
in|bedz: 451
vbz|rb: 614
at|vbz: 1351
in|abn: 409
ppss|ppo: 57
hv|ppss: 736
cc|hv: 7
cc|ppo: 351
jj|cc: 3260
bedz|,: 437
at|bedz: 1508
cd|jj: 178
.|cd: 1026
md*|pps: 173
be|md*: 130
rp|vbn: 887
rb|in: 978
cs|nns: 1049
jj|cs: 850
in|vbg: 2846
dt|:: 14
jj|bedz: 1050
jj|rb: 1451
jj|,: 2362
in|jj: 3672
jj|jj: 2916
ql|cc: 395
vbn|ql: 518
wrb|nns: 231
vbn|bed: 971
vbg|wrb: 49
nns|vbg: 1515
vbn|nns: 1124
cc|nn-tl: 435
nn|cc: 4189
rb|vbg: 729
jj|bed: 349
bez|nns: 358
.|jj: 2490
cc|.: 2661
cs|np: 304
wdt|nn: 948
hvd|wdt: 137
ppl|vbn: 45
at|ppl: 51
bez|wdt: 368
*|bez: 508
to|*: 152
cs|rp: 152
hv|nns: 518
nns|,: 1091
bez|vbd: 3
ql|bez: 538
hvz|pps: 417
ben|hvz: 562
rb|ben: 165
ppss|cc: 978
:|rb: 68
in|:: 46
nn|wdt: 253
do|nn: 33
at|do: 84
vb|jj: 31
vbn|ppls: 10
do|wdt: 26
ppss|do: 118
,|ppss: 77
od|at: 1212
nn|od: 1095
ppls|in: 73
.|ppls: 49
ex|.: 739
md|ex: 189
be|md: 3273
at|be: 589
in|np: 1587
vbn|,: 1018
nps|abn: 10
,|nps: 214
ap|pp$: 132
nns|ap: 2300
dod|np: 88
vb|*: 1132
:|nn: 454
``|:: 519
ql|vbn: 227
wdt|cc: 185
rbr|vb: 56
in|rbr: 155
dt|cd: 56
cs|dt: 26
ap|cs: 211
nn|.: 1225
vbz|cc: 334
rbr|vbz: 15
ql|.: 265
ql|ql: 321
--|vbd: 48
vb|--: 47
dt|,: 418
np|bez: 55
*|,: 248
np|*: 23
--|.: 62
md|cs: 41
ppl|vb: 198
in|ppl: 214
md|,: 483
pps|md: 73
``|pps: 14
vb|``: 398
dti|vb: 284
be|cc: 29
dti|in: 1061
vbg|dti: 31
ap|vb: 249
nn|ap: 2584
dt|vbd: 216
od|``: 7
jj-tl|od: 12
''|nn-tl: 441
wdt|'': 23
vbd|wdt: 405
nns|jj-tl: 146
(|nns: 249
in|(: 192
bed|wdt: 45
rb|bed: 352
)|nns: 173
,|): 383
*|bedz: 354
pn|*: 8
wdt|pn: 12
np|wdt: 163
pn|vbn: 36
--|md: 12
np|--: 122
jjr|np$: 5
nn|jjr: 661
wps|pps: 16
wql|vb: 24
ap|wql: 47
nns|ppo: 62
vbn|at: 1429
nn|vbn: 2222
,|md: 105
bem|ppss: 201
jj|bem: 37
wql|,: 25
jj|wql: 59
pps|jj: 106
be|pps: 34
,|be: 53
pp$|cc: 874
bedz|nns: 184
ql|in: 396
ap|ql: 537
to|hvd: 256
,|in: 169
ap|at: 2909
,|ap: 192
nn|,: 2333
wdt|.: 308
rb|wdt: 152
md|rb: 259
``|md: 14
nns|cc: 1950
''|nns: 757
do|'': 1
wrb|do: 4
``|hvd: 16
vbn|``: 106
'|,: 33
jj|': 26
bez|jj: 59
'|nn-tl: 11
``|': 4
.|``: 6
,|cc: 457
ppss|wrb: 618
bed|jj: 12
jj-tl|jj: 147
nn|jj-tl: 287
ppss|md: 208
be|ppss: 27
nps|at: 555
vbg|nps: 17
in|nps: 124
cc|ppss: 37
do|ppss: 206
ber|ex: 328
at|ber: 268
ql|at: 1339
hv|wps: 135
rb|hv: 234
hvn|rb: 21
at|hvn: 73
wps|,: 581
*|vb: 45
in|ql: 160
nr|in: 206
.|nr: 242
hvz|np: 268
vbn|ben: 1102
ap|cc: 533
to|wdt: 61
cc|vb: 554
''|vb: 352
dt|.: 1564
bedz|dt: 291
nn|bedz: 152
pps|cc: 1358
vbn|vbd: 145
rb|``: 455
ber|cc: 91
jjr|ber: 16
cs|jjr: 225
dts|cs: 162
''|ppo: 491
wdt|--: 55
cs|vbd: 1057
bed|ppss: 583
ql|bed: 129
qlp|jj: 161
.|qlp: 30
``|bedz: 47
nn|``: 723
pps|'': 29
hvd|nns: 265
ppo|vbn: 555
wps|nn: 1326
pps|wdt: 483
--|vbn: 86
cc|rb: 822
jjt|at: 661
nn|jjt: 414
``|.: 3807
cs|``: 166
nn|ppo: 128
,|'': 1967
ppss|``: 972
rp|vb: 1310
''|rb: 601
to|hv: 262
cs|ppls: 16
wrb|cs: 69
np|wrb: 231
wdt|vbd: 85
cc|``: 237
to|nns: 902
ap|vbd: 183
jjr|nns: 32
rp|ppl: 28
,|np-tl: 393
ap|in: 1480
nns$|ap: 6
nns|nns$: 100
rb|vb: 1419
wrb|in: 101
bedz|jj: 30
vbd|cd: 106
to|vbd: 1176
in|dt: 386
vbn|cs: 319
cd-tl|at: 28
nps|cd-tl: 3
bez|pps: 1758
wrb|vb: 250
ql|ber: 242
rbr|ql: 191
vbn|rbr: 73
pn|cs: 227
,|pn: 114
in|bez: 416
cc|cs: 43
*|cc: 245
rb|cd: 220
in|od: 107
cd|rb: 658
at|hv: 507
ppss|rb: 452
to|,: 437
to|cc: 273
,|rp: 496
abx|vbg: 8
ppo|abx: 1
*|hv: 43
wdt|vb: 249
bedz|wdt: 224
vbg|bedz: 775
rb|at: 341
wps|nn-tl: 25
md|wps: 394
ql|pp$: 81
,|cs: 202
jj|ap: 719
nns|vbd: 329
wrb|*: 6
at|abn: 484
wrb|vbd: 112
hvd|wps: 264
ap|rb: 106
dod|wps: 35
cs|in: 150
vbg|cs: 422
nr|nn: 163
bez|nr: 25
cs|bez: 235
ap|.: 422
jj|be: 922
vb|vb: 126
wps|pn: 86
vbz|wps: 413
np-tl|jj: 63
nns-tl|np-tl: 162
''|nns-tl: 99
hvz|pn: 38
vbn|hvz: 905
hv|cc: 65
nn|hv: 105
do|to: 369
rb|do: 93
,|vbz: 321
vb|cc: 1512
rb|nn: 2417
in|nr: 333
nn|vb: 1428
``|dti: 4
vbz|wdt: 378
nns|cs: 581
wrb|bez: 38
rb|nns: 1405
wdt|np: 25
jjs-tl|dti: 1
nn-tl|jjs-tl: 17
at-hl|.: 90
jj-hl|at-hl: 64
nn-hl|jj-hl: 200
at|nn-hl: 107
wdt|bez: 36
md|jj: 42
``|be: 30
cd|vbz: 69
cd|.: 660
bez|cd: 47
wdt|cs: 50
hvz|jj: 13
to|hvz: 56
in|do: 125
jj|dti: 444
``|in: 383
cc|'': 222
``|jj: 146
jjr|``: 8
nns|jjr: 309
bez|,: 462
nns-tl|jj: 32
in-tl|nns-tl: 142
np-tl|in-tl: 396
in|np-tl: 136
md|nns: 1234
rb|cs: 386
nns|abn: 414
wql|.: 38
vbn|wql: 8
dt|vbn: 135
md|dt: 194
nn|*: 45
jj|wdt: 81
dt|vb: 525
ql|dt: 42
do|nns: 81
*|do: 200
vbg|nn: 1072
nn|rb: 311
dt|vbg: 157
,|dt: 259
jj|hv: 103
do|,: 31
hv|*: 90
jj|vbg: 625
rb|wql: 49
nns|nns: 140
at|wdt: 452
vbz|nn-tl: 137
fw-nn|in: 13
.|fw-nn: 29
ql|rb: 337
at|hvg: 65
pn|nns: 17
vbz|pn: 141
fw-nn|at: 73
in|fw-nn: 21
nns-tl|in: 94
cc|nns-tl: 110
nns-tl|at: 266
vbz|nns-tl: 19
vbg|vbz: 44
vbn|nn: 1637
vbg|jj: 407
vbz|np: 548
pp$|``: 114
vbz|dt: 193
in|abx: 93
hvg|vb: 8
nn|hvg: 20
wpo|in: 93
,|wpo: 8
hv|to: 322
dti|hv: 40
.|abn: 123
cc|vbz: 99
ppl|vbz: 49
cs|ppl: 51
nn-tl|jj: 252
in-tl|nn-tl: 1154
cc|np-tl: 106
rb|jj: 290
vbz|rbr: 10
ber|jj: 16
cd|ber: 64
ber|wps: 177
vbg|ber: 280
md|np-tl: 27
be|rb: 358
.|ap: 234
dtx|.: 18
bez|dtx: 1
wrb|vbz: 41
dtx|wrb: 2
nn|dtx: 39
rp|vbz: 191
at|rp: 608
dt|cc: 369
ql|wdt: 18
jj-hl|.: 163
nns-hl|jj-hl: 97
at|nns-hl: 48
jj|nn: 911
nn-tl|in: 1098
nns-tl|in-tl: 128
.|nns-tl: 248
pps|wrb: 823
hvd|pps: 1285
pp$|,: 670
nns|bed: 89
``|pp$: 85
nns|'': 84
bez|wps: 211
,|bez: 200
abx|vb: 34
at|abx: 73
.|abx: 15
ap|dt: 196
nn|cd: 1563
nns|ber: 127
vbg|bez: 356
.|vbg: 623
ql|bedz: 409
ql|pps: 18
vbd|ql: 7
cc|vbd: 365
np|nn: 624
ql|vb: 371
cs|np-tl: 22
jj|vbz: 299
abn|,: 135
doz|pps: 104
ap|doz: 2
cc|ap: 93
pn|cc: 119
to|pn: 80
vbg|rp: 42
cd|cs: 237
in|cd: 1802
bez|--: 18
ppl|in: 266
ql|vbz: 138
in|dti: 372
ber|nns: 1520
jj|ber: 627
vb|nn: 589
vbg|nns: 718
nns|vbz: 131
at|ap: 86
wql|in: 17
abn|jj: 26
.|bez: 32
to|vbg: 612
nps|cs: 34
pp$|rb: 161
vb|ppo: 419
to|.: 215
wdt|rb: 109
rb|ppss: 566
abl|cs: 28
at|abl: 339
to|vbz: 442
*|ppl: 2
in|hv: 52
pn|ppo: 20
dt|pn: 8
vbg|.: 552
vbg|ap: 62
do|``: 34
nn-tl|np: 140
wrb|``: 177
,|wrb: 191
dt|``: 108
``|cs: 245
''|pp$: 3
jjr|at: 612
*|vbz: 27
pp$|bez: 109
pp$|*: 24
wdt|vbz: 37
to|bez: 241
cc|be: 11
do|cc: 36
.|do: 85
in-hl|nn-hl: 231
at-hl|in-hl: 144
at|jj-hl: 4
pp$|vbz: 230
rb|be: 282
dt|rb: 179
vbz|nns: 130
pn|in: 285
jj|pn: 127
cs|*: 70
.|np-tl: 241
pp$|hvz: 26
beg|in: 160
at|beg: 67
dt|nns: 90
vb|dt: 26
ber|nn: 490
rb|pn: 194
rb|ber: 527
vbz|ap: 15
hvz|wps: 131
jj|ben: 201
nr|cc: 43
ex|nr: 3
beg|ber: 41
vbn|beg: 343
*|--: 28
pp$$|in: 61
.|pp$$: 51
--|jj: 160
nn|--: 115
.|dt: 227
ex|cc: 207
ap|bez: 81
nn|bez: 183
vb|ex: 7
``|ap: 20
ql|ppls: 6
,|jjt: 37
ql|,: 507
nn$|pp$: 172
cc|nn$: 5
nn$|cc: 9
nns|nn$: 194
``|hvz: 5
''|vbn: 188
at|'': 55
vb|pps: 137
doz|nn: 110
*|doz: 223
nn-tl|vbz: 21
vbn-tl|at: 369
nn-tl|vbn-tl: 27
np|in-tl: 32
jj-tl|in-tl: 127
nns-tl|jj-tl: 334
pps|``: 179
ppl|nn: 136
.|ppl: 215
nns|wdt: 110
md|ap: 26
--|rb: 167
dti|rb: 59
nn$|at: 871
nn|nn$: 860
vbg|nn$: 29
nn|vbz: 320
nn|np: 1323
nn$|nn: 52
at|ppo: 428
.|vbd: 1393
vbn|.: 265
pp$|nn: 115
nn|nn-tl: 504
pps|vbd: 316
ql|``: 99
dti|vbd: 79
--|vbg: 54
nns|hv: 58
ql|nns: 225
ql|rp: 57
vbd|dt: 126
nn|nns: 360
nns|.: 879
md|dts: 25
to|wrb: 83
wp$|nn: 65
nn|wp$: 125
:|bez: 13
do*|``: 57
vb|do*: 376
,|ppl: 162
cd|ap: 287
dti|.: 226
nns|dti: 366
ber|rb: 65
rbr|ber: 8
to|rbr: 26
dts|,: 96
in|doz: 14
md*|nn: 78
np$-tl|jj-tl: 18
np-tl|np$-tl: 3
nn-tl|in-tl: 407
bez|``: 43
nr|cs: 12
pn|at: 138
,|abn: 144
nns-tl|dts: 8
vbd|nns-tl: 75
wrb|vbn: 99
vbd|ppss: 2758
jjs|at: 204
nn|jjs: 198
hv|rb: 170
ber*|ppss: 16
``|ber*: 1
jj|ber*: 3
ppss+ber|.: 47
rb|ppss+ber: 19
jj-tl|,: 162
pp$|hv: 47
dt+bez|cs: 8
at|dt+bez: 36
,|bed: 46
hvz|rb: 74
ql|md: 45
at|nr: 34
od|jj: 45
cc|od: 65
nns|od: 91
jj|jjt: 85
ql|hvd: 20
bedz*|nn: 12
vbn|bedz*: 14
bed|rb: 52
.|bed: 10
bedz|wrb: 15
dod|wrb: 40
nns|dod: 5
rb|ppls: 17
vb|dti: 14
nns|wrb: 112
nns|rb: 206
pn|rb: 93
nns|bedz: 10
jj|*: 313
wps|``: 25
ber|,: 179
wrb|jj: 84
nn|wrb: 139
ap|vbz: 94
ap|nns: 59
rb|ap: 69
at|--: 423
nns$|cc: 8
nn|nns$: 116
hvz|,: 137
``|ber: 12
jjr|ql: 210
jj|jjr: 77
*|.: 146
rb|dti: 20
rp|ber: 5
to|rp: 164
dts|vb: 139
ap|,: 221
hvd|,: 197
ben|hvd: 730
nn|be: 61
cc|pps: 72
rb|wps: 154
vbg|--: 73
jj|nn$: 190
md*|cc: 25
rb|md*: 33
cc|cd: 486
''|vbz: 35
abx|cs: 26
be|abx: 3
rbr|in: 10
rb|nr: 26
to|``: 41
ql|dti: 21
ql|vbg: 126
'|ql: 2
'|jj: 29
''|': 40
wql|``: 5
ppss+ber|rb: 7
vbg|ppss+ber: 81
''|vbg: 98
vbn|np: 59
in|bed: 148
md*|ppss: 316
hv|md*: 60
np|hvd: 24
--|np: 150
vbg|np: 137
np$|cc: 103
jj|np$: 316
rp|,: 50
np$|in: 845
cd|jjr: 13
vbg|cd: 82
np$|.: 248
nns|np$: 270
ap$|at: 1
nns|ap$: 5
od|md: 1
vb|od: 2
vb|ppl: 14
jj|nns: 510
hvd|rb: 110
to|ap: 129
.|pps: 30
cd|vbd: 307
''|rp: 135
at|jj: 203
ppss|--: 94
bedz|ppss: 323
''|dt: 90
rp|rb: 113
cd|bed: 59
dti|``: 15
ppo|md: 34
be|ppo: 24
jjr|be: 49
dtx|in: 42
nn$|in: 63
cd|rp: 87
bedz|ex: 542
cd|--: 62
pps|be: 6
bedz|vb: 12
to|bedz: 182
,|wdt: 110
pp$|bedz: 111
abx|vbd: 16
abn|rb: 95
pp$|abn: 117
vbg|ppl: 34
vb|md*: 505
.|dti: 6
cd-hl|.: 200
pps|cd-hl: 1
cd|cc: 644
:|dt: 25
ex+bez|:: 2
at|ex+bez: 45
ap|dts: 32
nr|rb: 94
,|nr: 231
.|to: 19
ex+bez|.: 33
ppss+md|.: 114
hv|ppss+md: 50
ppo|do: 102
ppl|ppo: 14
pn|,: 158
ppo|rb: 11
.|md: 54
dod*|pps: 131
hv|dod*: 26
pps|pn: 36
pps|vb: 139
vbn|ppo: 114
jjr|bedz: 41
rbr|vbn: 55
.|rbr: 130
vbd|nn-tl: 395
jjr|in: 213
vbg|vbd: 254
rp|nns: 121
rbr|at: 40
cs|rbr: 140
abn|cs: 142
bedz*|pps: 71
cs|bedz*: 3
beg|cc: 9
jj|beg: 66
cd|nn: 489
jj|.: 978
,|qlp: 38
ap|bedz: 43
pn|nn: 45
md|ppo: 68
jj|bedz*: 17
in|qlp: 27
vbn|np$: 34
rbr|rb: 60
bed|ex: 219
abn|cc: 134
nn|bed: 19
,|ben: 27
vbn|pp$: 171
ap|*: 80
*|ap: 8
,|wps: 70
hvz|nns-tl: 21
wql|vbn: 4
abl|in: 115
cc|in: 220
bez|vb: 42
at|pn: 18
pp$|ber: 22
jj|do: 15
at|nns-tl: 14
abx|vbz: 15
nn|abx: 44
abn|vbz: 37
wps|abn: 26
bed|nn: 298
``|np$: 62
bez|'': 59
``|to: 58
cd|pp$: 74
``|cc: 199
bed|,: 99
pps|bed: 5
*|pps: 23
,|nns-tl: 363
*|np: 13
(|nn: 567
at-tl|``: 104
nns-tl|at-tl: 52
np-tl|np-tl: 244
''|np-tl: 96
nns|rp: 84
be|nns: 46
np$|be: 8
cs|np$: 6
np|rp: 27
ben|rb: 209
``|beg: 12
''|in: 50
``|nn: 207
bed|pps: 66
vbg|bed: 308
np|vbz: 88
vbg|``: 111
pp$|wps: 7
in|``: 256
rbr|.: 65
pps|rbr: 24
bez|cc: 151
pp$|abx: 15
ber|nns-tl: 26
in|ber: 210
np$|vbz: 12
``|vbz: 39
``|ppo: 27
wp$|'': 1
rbr|bez: 17
*|vbn: 39
ppl|np: 64
bez|ppl: 18
''|vbd: 60
ql|ppo: 133
ex|nn: 94
(|ppo: 18
``|(: 36
)|rb: 58
''|): 11
)|'': 37
vbz|): 35
hvg|pp$: 7
rb|hvg: 8
(|np$: 7
cs|bedz: 113
wps|): 21
cc|abx: 1
np$|,: 107
ppo|nn: 14
jj-tl|bez: 8
wps|--: 17
cd|np$: 22
``|nns: 47
``|hv: 4
abn|``: 43
ben|abn: 10
hvd|cc: 100
jj-tl|np$: 40
(|in: 31
pp$|(: 11
)|pp$: 2
nns|): 58
vbg|vb: 260
:|nns: 221
--|vbz: 11
cc|jjr: 106
jjr|cc: 98
do*|,: 25
--|rp: 30
pp$|ppo: 51
vbg|be: 198
wps|np: 92
md*|pn: 11
pp$|--: 49
bez|np: 442
vb|vbz: 8
vbg|ppo: 91
rbr|cc: 64
vbg|rbr: 12
np$|vbg: 32
''|ap: 30
(|'': 61
--|ppss: 10
md|--: 30
''|--: 4
)|.: 174
in|): 219
``|nn$: 6
jjt|``: 6
wp$|,: 73
wp$|cc: 18
vbg|wp$: 4
np|'': 49
rp|np: 24
vbz|vbz: 11
dod|rb: 67
.|dod: 49
bez|pp$: 1
.|be: 58
in|ben: 155
nns$|at: 96
jjs-tl|np$: 1
in|dts: 154
jj-tl|cc: 112
dt|np: 22
nn-tl|cc: 211
np-tl|nn-tl: 231
vbg|dts: 33
hvz|ex: 31
np$|wrb: 16
nn-tl|np$: 82
jjt|,: 12
bedz|--: 29
hvd|vbd: 10
nn-tl|.: 381
np$|nn-tl: 85
vbd|'': 33
nns|np: 480
dts|cc: 89
jj|dts: 231
nr|jj: 41
fw-nns|at: 11
in|fw-nns: 6
cd|cd: 289
dts|vbd: 31
nns-tl|vbn-tl: 453
vbg|vbn: 111
cs|nn-tl: 95
ql|np: 39
ex+bez|wrb: 3
np$-tl|in: 37
nn-tl|np$-tl: 75
nr|nns: 75
cd|hvz: 22
nns|jjt: 170
nr-tl|at: 201
,|nr-tl: 44
rbr|nns: 122
nr|rbr: 6
nn-tl|bez: 12
cs|vbz: 416
cd|vb: 316
rp|nr: 1
jj|rp: 85
cc-tl|nn-tl: 100
nn-tl|cc-tl: 105
nns|wp$: 61
np$-tl|at: 16
jj-tl|ap: 47
nns|np-tl: 39
nps|jj: 91
cd|wrb: 27
``|nps: 1
nn-tl|vbn: 52
``|dt: 22
cs|'': 49
ql|pn: 37
rbt|ppo: 5
in|rbt: 21
nn|abn: 216
at-tl|in-tl: 257
vbn-tl|at-tl: 41
bedz|np-tl: 25
at|cd: 95
:|np: 80
np|:: 77
abx|cc: 18
pps|abx: 3
ppl|pps: 23
cc|ppl: 60
jjs-tl|cc: 1
bed|np: 101
ex|rb: 93
dts|ber: 25
''|.: 86
nr|bez: 8
nn-tl|od: 23
``|vbn: 113
in|nns-tl: 175
wdt|vbg: 50
dti|cc: 120
bedz|np$: 6
``|rb: 45
nn-tl|vb: 92
np|od: 20
vbd|``: 44
rb|'': 42
cd-tl|jj-tl: 7
,|cd-tl: 252
nn-tl|cd: 38
rp|.: 36
vbg|dt: 57
vbn|cd: 96
vbn|vbn: 58
jj-tl|np-tl: 147
(|nn-tl: 131
od|(: 2
jjt|od: 3
in|jjt: 82
)|cd: 503
at-tl|,: 32
np-tl|at-tl: 77
cd|abn: 45
ber|cd: 20
dtx|vb: 3
in|dtx: 29
rbr|vbg: 20
pps|rp: 16
hvn|hvz: 23
to|hvn: 29
*|hvz: 78
ben|*: 63
nps|ap: 38
hv|nps: 30
cd|nns: 224
nr|.: 61
pps|nr: 20
wpo|nn: 78
ap|wpo: 5
in|be: 239
jj-tl|nn-tl: 130
np|jj-tl: 61
nr|vbn: 62
cd|bez: 150
ex|--: 11
to|in: 22
doz|dt: 17
be|rbr: 11
dt|*: 12
in|md: 65
nns|``: 219
(|jj: 64
cc|(: 97
)|jj: 84
vbz|``: 31
nn|ql: 16
vb|abn: 49
hv|nn: 152
jj|pps: 27
ppl|'': 2
pn|dti: 4
abl|rb: 11
np|``: 396
ql|'': 11
rb|dt: 90
jj|'': 41
vbz|ex: 22
dt|wrb: 67
od-tl|in: 24
nps-tl|od-tl: 1
.|nps-tl: 11
